uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,throughput,reliabilityScore
Q9BSQ5,Q9BUL8,83605,11235,ENSG00000136280,ENSG00000114209,CCM2,PDCD10,anti tag coimmunoprecipitation,physical association,27027284,small scale,0.37
O00522,Q9BSQ5,889,83605,ENSG00000001631,ENSG00000136280,KRIT1,CCM2,anti tag coimmunoprecipitation,physical association,27027284,small scale,0.37
P17542,Q99081,6886,6938,ENSG00000162367,ENSG00000140262,TAL1,TCF12,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,19497860,small scale,0.42
P15923,P17542,6929,6886,ENSG00000071564,ENSG00000162367,TCF3,TAL1,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,19497860,small scale,0.42
O00267,P24928,6829,5430,ENSG00000196235,ENSG00000181222,SUPT5H,POLR2A,anti bait coimmunoprecipitation,physical association,24814348,small scale,0.37
O00267,P63272,6829,6827,ENSG00000196235,ENSG00000213246,SUPT5H,SUPT4H1,molecular sieving|cross-linking study,direct interaction,17404243|26789250,small scale,0.52
P42345,Q6R327,2475,253260,ENSG00000198793,ENSG00000164327,MTOR,RICTOR,anti bait coimmunoprecipitation,physical association,22307628|27043084|23263282,small scale,0.47
O00167,Q15475,2139,6495,ENSG00000064655,ENSG00000126778,EYA2,SIX1,x-ray crystallography|molecular sieving,direct interaction,23435380,small scale,0.46
Q9BUL8,Q9Y6E0,11235,8428,ENSG00000114209,ENSG00000102572,PDCD10,STK24,bio-layer interferometry|pull down,direct interaction,23541896,small scale,0.46
O75340,Q8WUM4,10016,10015,ENSG00000249915,ENSG00000170248,PDCD6,PDCD6IP,x-ray crystallography|far western blotting|pull down,direct interaction|physical association,18940611,small scale,0.53
Q02156,Q15139,5581,5587,ENSG00000171132,ENSG00000184304,PRKCE,PRKD1,protein kinase assay,phosphorylation reaction,19011111,small scale,0.25
O60880,Q13291,4068,6504,ENSG00000183918,ENSG00000117090,SH2D1A,SLAMF1,anti bait coimmunoprecipitation,physical association,15841490,small scale,0.37
P62988,P63146,,7320,,ENSG00000119048,,UBE2B,nuclear magnetic resonance|comigration in sds page,direct interaction|covalent binding,21422291,small scale,0.46
Q16637,Q9UHI6,6606,11218,ENSG00000172062,ENSG00000064703,SMN1,DDX20,anti bait coimmunoprecipitation,physical association,21072240,small scale,0.37
Q07812,Q07820,581,4170,ENSG00000087088,ENSG00000143384,BAX,MCL1,anti tag coimmunoprecipitation,physical association,18981409,small scale,0.37
P25054,Q9NR80,324,50649,ENSG00000134982,ENSG00000136002,APC,ARHGEF4,isothermal titration calorimetry,direct interaction,22000517,small scale,0.4
Q08881,Q13094,3702,3937,ENSG00000113263,ENSG00000043462,ITK,LCP2,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,17420479,small scale,0.42
P62993,Q9UQC2,2885,9846,ENSG00000177885,ENSG00000033327,GRB2,GAB2,x-ray crystallography|isothermal titration calorimetry|peptide array,direct interaction,19523899,small scale,0.49
P12931,P49407,6714,408,ENSG00000197122,ENSG00000137486,SRC,ARRB1,anti bait coimmunoprecipitation,physical association,16432186|19202075,small scale,0.43
Q13616,Q9UKB1,8454,23291,ENSG00000055130,ENSG00000072803,CUL1,FBXW11,anti tag coimmunoprecipitation,physical association,18354482,small scale,0.37
Q13616,Q9Y297,8454,8945,ENSG00000055130,ENSG00000166167,CUL1,BTRC,anti tag coimmunoprecipitation,physical association,18354482,small scale,0.37
P63208,Q9UKB1,6500,23291,ENSG00000113558,ENSG00000072803,SKP1,FBXW11,anti tag coimmunoprecipitation,physical association,20596027,small scale,0.37
P63208,Q9Y297,6500,8945,ENSG00000113558,ENSG00000166167,SKP1,BTRC,anti tag coimmunoprecipitation,physical association,20596027,small scale,0.37
Q96P20,Q9ULZ3,114548,29108,ENSG00000162711,ENSG00000103490,NLRP3,PYCARD,anti tag coimmunoprecipitation,physical association,19158675,small scale,0.37
P62988,Q96FW1,,55611,,ENSG00000167770,,OTUB1,fluorescent resonance energy transfer|deubiquitinase assay|protease assay|pull down,direct interaction|deubiquitination reaction|protein cleavage|physical association,23201676|23955022|22367539,small scale,0.66
P78352,Q12879,1742,2903,ENSG00000132535,ENSG00000183454,DLG4,GRIN2A,anti bait coimmunoprecipitation,physical association,17360663,small scale,0.37
P78352,Q9P021,1742,9419,ENSG00000132535,ENSG00000119878,DLG4,CRIPT,fluorescence polarization spectroscopy,direct interaction,20018661,small scale,0.4
O15111,P19838,1147,4790,ENSG00000213341,ENSG00000109320,CHUK,NFKB1,tandem affinity purification,physical interaction,14743216,high throughput,0.25
P60228,Q9Y262,3646,51386,ENSG00000104408,ENSG00000100129,EIF3E,,mass spectrometry studies of complexes|pull down|anti tag coimmunoprecipitation,direct interaction|physical association|physical interaction,18599441|23623729,small scale,0.59
O15169,P49841,8312,2932,ENSG00000103126,ENSG00000082701,AXIN1,GSK3B,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,23892894|19202075|19759537,small scale,0.53
O15169,P35222,8312,1499,ENSG00000103126,ENSG00000168036,AXIN1,CTNNB1,anti tag coimmunoprecipitation,physical association,23892894,small scale,0.37
P78352,Q13224,1742,2904,ENSG00000132535,ENSG00000273079,DLG4,GRIN2B,fluorescence polarization spectroscopy,direct interaction,20018661,small scale,0.4
P29474,Q03135,4846,857,ENSG00000164867,ENSG00000105974,NOS3,CAV1,anti bait coimmunoprecipitation,physical association,17502619,small scale,0.37
P30307,P53350,995,5347,ENSG00000158402,ENSG00000166851,CDC25C,PLK1,pull down|x-ray crystallography|classical fluorescence spectroscopy|anti bait coimmunoprecipitation|isothermal titration calorimetry,physical association|direct interaction,19597481|17307877,small scale,0.62
O15350,Q09472,7161,2033,ENSG00000078900,ENSG00000100393,TP73,EP300,classical fluorescence spectroscopy|nuclear magnetic resonance,direct interaction,19218448,small scale,0.46
P14678,Q8WXD5,6628,79833,ENSG00000125835,ENSG00000152147,SNRPB,GEMIN6,pull down,direct interaction,15939020,small scale,0.4
P62316,Q8WXD5,6633,79833,ENSG00000125743,ENSG00000152147,SNRPD2,GEMIN6,pull down,direct interaction,15939020,small scale,0.4
P62318,Q8WXD5,6634,79833,ENSG00000100028,ENSG00000152147,SNRPD3,GEMIN6,pull down,direct interaction,15939020,small scale,0.4
P62304,Q8WXD5,6635,79833,ENSG00000182004,ENSG00000152147,SNRPE,GEMIN6,pull down,direct interaction,15939020,small scale,0.4
P62988,Q13501,,8878,,ENSG00000161011,,SQSTM1,surface plasmon resonance|anti tag coimmunoprecipitation|pull down|anti bait coimmunoprecipitation,direct interaction|physical association,16007098|25686248|17389358,small scale,0.65
P28676,P30626,25801,6717,ENSG00000115271,ENSG00000075142,GCA,SRI,two hybrid,direct interaction,18330356,small scale,0.37
P02511,P04792,1410,3315,ENSG00000109846,ENSG00000106211,CRYAB,HSPB1,two hybrid,direct interaction,18330356,small scale,0.37
P02489,P02511,,1410,,ENSG00000109846,,CRYAB,molecular sieving|cosedimentation in solution|dynamic light scattering|mass spectrometry studies of complexes|transmission electron microscopy,direct interaction,19651604|22153508,small scale,0.57
O14964,Q99816,9146,7251,ENSG00000185359,ENSG00000074319,HGS,TSG101,x-ray crystallography|isothermal titration calorimetry,direct interaction,21070952,small scale,0.46
P06239,P20963,3932,919,ENSG00000182866,ENSG00000198821,LCK,CD247,protein kinase assay,phosphorylation reaction,24463463,small scale,0.25
P55036,P62988,5710,,ENSG00000159352,,PSMD4,,pull down,direct interaction,16007098,small scale,0.4
Q8WUW1,Q92558,55845,8936,ENSG00000254999,ENSG00000112290,BRK1,WASF1,pull down,physical association,19363480,small scale,0.37
P08047,Q13547,6667,3065,ENSG00000185591,ENSG00000116478,SP1,HDAC1,anti bait coimmunoprecipitation,physical association,18003922,small scale,0.37
Q495M9,Q9Y6N9,124590,10083,ENSG00000182040,ENSG00000006611,USH1G,USH1C,molecular sieving|x-ray crystallography|isothermal titration calorimetry|pull down,direct interaction,20142502,small scale,0.5
P04637,Q07817,7157,598,ENSG00000141510,ENSG00000171552,TP53,BCL2L1,anti bait coimmunoprecipitation|nuclear magnetic resonance|anti tag coimmunoprecipitation|fluorescence polarization spectroscopy|isothermal titration calorimetry,physical association|direct interaction,24814347,small scale,0.56
P13984,P35269,2963,2962,ENSG00000188342,ENSG00000125651,GTF2F2,GTF2F1,two hybrid,direct interaction,7854423,small scale,0.37
Q13191,Q96B97,868,30011,ENSG00000114423,ENSG00000147010,CBLB,SH3KBP1,anti tag coimmunoprecipitation|isothermal titration calorimetry|x-ray crystallography,association|direct interaction|physical association,16228008,small scale,0.54
Q92558,Q9Y2A7,8936,10787,ENSG00000112290,ENSG00000061676,WASF1,NCKAP1,pull down,physical association,19363480,small scale,0.37
Q15223,Q9NQS3,5818,25945,ENSG00000110400,ENSG00000177707,NECTIN1,NECTIN3,cosedimentation in solution|surface plasmon resonance,direct interaction,22902367,small scale,0.46
Q15223,Q96NY8,5818,81607,ENSG00000110400,ENSG00000143217,NECTIN1,NECTIN4,cosedimentation in solution|surface plasmon resonance,direct interaction,22902367,small scale,0.46
P46108,Q13905,1398,2889,ENSG00000167193,ENSG00000107263,CRK,RAPGEF1,pull down,physical association,17515907,small scale,0.37
P38398,Q9BX63,672,83990,ENSG00000012048,ENSG00000136492,BRCA1,BRIP1,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,19369211,small scale,0.42
Q8WXD5,Q9H840,79833,79760,ENSG00000152147,ENSG00000142252,GEMIN6,GEMIN7,x-ray crystallography|pull down|cosedimentation in solution|molecular sieving,direct interaction|physical association,15939020,small scale,0.54
Q13616,Q969U6,8454,54461,ENSG00000055130,ENSG00000159069,CUL1,FBXW5,anti tag coimmunoprecipitation,physical association,23314863,small scale,0.37
O95999,Q9BXL7,8915,84433,ENSG00000142867,ENSG00000198286,BCL10,CARD11,anti bait coimmunoprecipitation,physical association,19815501|19118383,small scale,0.43
O75569,P19525,8575,5610,ENSG00000180228,ENSG00000055332,PRKRA,EIF2AK2,nuclear magnetic resonance|pull down,direct interaction|physical association,16785445,small scale,0.5
O15350,Q9H3D4,7161,8626,ENSG00000078900,ENSG00000073282,TP73,TP63,mass spectrometry studies of complexes,direct interaction,19815500,small scale,0.4
P61088,Q13404,7334,387522,ENSG00000177889,ENSG00000244687,UBE2N,,molecular sieving,direct interaction,22367539,small scale,0.4
O15530,P31749,5170,207,ENSG00000140992,ENSG00000142208,PDPK1,AKT1,protein kinase assay,phosphorylation reaction,26256536,small scale,0.25
P11473,P19793,7421,6256,ENSG00000111424,ENSG00000186350,VDR,RXRA,molecular sieving|x ray scattering|pull down|cosedimentation in solution,direct interaction|physical association,21478865,small scale,0.54
O14893,Q16637,8487,6606,ENSG00000092208,ENSG00000172062,GEMIN2,SMN1,ion exchange chromatography|cosedimentation in solution|light scattering|molecular sieving,direct interaction,23022347,small scale,0.5
Q9Y2A7,Q9Y6W5,10787,10163,ENSG00000061676,ENSG00000158195,NCKAP1,WASF2,anti tag coimmunoprecipitation,physical association,21107423,small scale,0.37
P21333,P26010,2316,3695,ENSG00000196924,ENSG00000139626,FLNA,ITGB7,anti tag coimmunoprecipitation|pull down,direct interaction,21926999,small scale,0.46
Q15831,Q7RTN6,6794,92335,ENSG00000118046,ENSG00000266173,STK11,STRADA,pull down|anti bait coimmunoprecipitation,physical association,19513107|26479318,small scale,0.48
P31749,P42345,207,2475,ENSG00000142208,ENSG00000198793,AKT1,MTOR,protein kinase assay|anti tag coimmunoprecipitation,phosphorylation reaction|physical association,24670654,small scale,0.43
P46937,Q13625,10413,7159,ENSG00000137693,ENSG00000143514,YAP1,TP53BP2,tandem affinity purification,physical association,25751139,small scale,0.37
P27695,Q9UIF7,328,4595,ENSG00000100823,ENSG00000132781,APEX1,MUTYH,pull down,direct interaction,19820168,small scale,0.4
P24928,Q16637,5430,6606,ENSG00000181222,ENSG00000172062,POLR2A,SMN1,isothermal titration calorimetry|fluorescence polarization spectroscopy|anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,direct interaction|physical association,26700805,small scale,0.54
P32780,Q01831,2965,7508,ENSG00000110768,ENSG00000154767,GTF2H1,XPC,isothermal titration calorimetry|nuclear magnetic resonance,direct interaction,26278177,small scale,0.46
O43502,O43542,5889,7517,ENSG00000108384,ENSG00000126215,RAD51C,XRCC3,anti bait coimmunoprecipitation,physical association,24005329,small scale,0.37
P42574,P55211,836,842,ENSG00000164305,ENSG00000132906,CASP3,CASP9,protease assay,cleavage reaction,18723680,small scale,0.25
Q15633,Q9UKV8,6895,27161,ENSG00000139546,ENSG00000123908,TARBP2,,anti tag coimmunoprecipitation,physical association,23636329,small scale,0.37
O15350,P62988,7161,,ENSG00000078900,,TP73,,pull down|anti tag coimmunoprecipitation,physical association,25774835|17592138|20615966,small scale,0.53
P04637,P08047,7157,6667,ENSG00000141510,ENSG00000185591,TP53,SP1,anti bait coimmunoprecipitation,physical association,21831840,small scale,0.37
O14744,P62805,10419,121504,ENSG00000100462,ENSG00000274618,PRMT5,H4-16,methyltransferase assay,methylation reaction,23071334,small scale,0.25
P16104,Q13315,3014,472,ENSG00000188486,ENSG00000149311,H2AX,ATM,anti bait coimmunoprecipitation,physical association,22451927,small scale,0.37
P06213,Q14449,3643,2888,ENSG00000171105,ENSG00000115290,INSR,GRB14,anti bait coimmunoprecipitation,physical association,19648926,small scale,0.37
Q9H221,Q9H222,64241,64240,ENSG00000143921,ENSG00000138075,ABCG8,ABCG5,comigration in non denaturing gel electrophoresis|pull down|molecular sieving|x-ray crystallography,direct interaction|physical association,27144356,small scale,0.54
Q07820,Q7Z6Z7,4170,10075,ENSG00000143384,ENSG00000086758,MCL1,HUWE1,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,20023629,small scale,0.42
Q16665,Q9GZT9,3091,54583,ENSG00000100644,ENSG00000135766,HIF1A,EGLN1,x-ray crystallography,direct interaction,19604478,small scale,0.4
P12931,Q9H5V8,6714,64866,ENSG00000197122,ENSG00000163814,SRC,CDCP1,anti bait coimmunoprecipitation,physical association,21233420,small scale,0.37
Q14145,Q16236,9817,4780,ENSG00000079999,ENSG00000116044,KEAP1,NFE2L2,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation|isothermal titration calorimetry,physical association,19706542|18757741|17015834,small scale,0.56
P35222,Q9Y297,1499,8945,ENSG00000168036,ENSG00000166167,CTNNB1,BTRC,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,18354482|24561623,small scale,0.48
P10276,Q15788,5914,8648,ENSG00000131759,ENSG00000084676,RARA,NCOA1,x-ray crystallography|classical fluorescence spectroscopy,direct interaction,20543827,small scale,0.46
O75899,Q9UBS5,9568,2550,ENSG00000136928,ENSG00000204681,GABBR2,GABBR1,molecular sieving|x-ray crystallography|cross-linking study,direct interaction,24305054,small scale,0.49
P51617,Q96FA3,3654,57162,ENSG00000184216,ENSG00000197329,IRAK1,PELI1,protein kinase assay,phosphorylation reaction,19264966,small scale,0.25
O60880,Q14155,4068,8874,ENSG00000183918,ENSG00000102606,SH2D1A,ARHGEF7,pull down|two hybrid|anti tag coimmunoprecipitation,physical association,16983070,small scale,0.44
O60880,Q15052,4068,9459,ENSG00000183918,ENSG00000129675,SH2D1A,ARHGEF6,anti tag coimmunoprecipitation|two hybrid|pull down,physical association,16983070,small scale,0.44
O60880,Q9BZW8,4068,51744,ENSG00000183918,ENSG00000122223,SH2D1A,CD244,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,15841490|16983070,small scale,0.48
O60880,P06241,4068,2534,ENSG00000183918,ENSG00000010810,SH2D1A,FYN,anti tag coimmunoprecipitation,physical association,16983070,small scale,0.37
O60880,P60953,4068,998,ENSG00000183918,ENSG00000070831,SH2D1A,CDC42,pull down,physical association,16983070,small scale,0.37
P60953,Q14155,998,8874,ENSG00000070831,ENSG00000102606,CDC42,ARHGEF7,pull down|anti tag coimmunoprecipitation,physical association,25150978|16983070,small scale,0.48
Q14155,Q9BZW8,8874,51744,ENSG00000102606,ENSG00000122223,ARHGEF7,CD244,anti tag coimmunoprecipitation,physical association,16983070,small scale,0.37
P48023,Q13158,356,8772,ENSG00000117560,ENSG00000168040,FASLG,FADD,pull down,physical association,24025841,small scale,0.37
P48023,Q14790,356,841,ENSG00000117560,ENSG00000064012,FASLG,CASP8,pull down,physical association,24025841,small scale,0.37
P35998,P54727,5701,5887,ENSG00000161057,ENSG00000119318,PSMC2,RAD23B,pull down,physical association,9490418,small scale,0.37
P42345,Q15382,2475,6009,ENSG00000198793,ENSG00000106615,MTOR,RHEB,pull down,physical association,18550814,small scale,0.37
P30622,Q15691,6249,22919,ENSG00000130779,ENSG00000101367,CLIP1,MAPRE1,molecular sieving|surface plasmon resonance|pull down|isothermal titration calorimetry,direct interaction,24997520|17563362|17828277,small scale,0.61
Q13501,Q9Y4K3,8878,7189,ENSG00000161011,ENSG00000175104,SQSTM1,TRAF6,anti tag coimmunoprecipitation,physical association,17389358,small scale,0.37
P62988,Q9Y6K9,,8517,,ENSG00000269335,,IKBKG,comigration in sds page|anti tag coimmunoprecipitation|pull down|anti bait coimmunoprecipitation,direct interaction|physical association,21455180|21455181|17101977|19675569,small scale,0.69
P62805,Q12888,121504,7158,ENSG00000274618,ENSG00000067369,H4-16,TP53BP1,pull down|nuclear magnetic resonance|peptide array,direct interaction|physical association,23377543|25651062|25579814|23760478,small scale,0.67
Q9NS23,Q9UER7,11186,1616,ENSG00000068028,ENSG00000204209,RASSF1,DAXX,nuclear magnetic resonance,direct interaction,21134643,small scale,0.4
P06748,Q8N726,4869,1029,ENSG00000181163,ENSG00000147889,NPM1,CDKN2A,anti bait coimmunoprecipitation,physical association,23851489,small scale,0.37
Q92900,Q9HAU5,5976,26019,ENSG00000005007,ENSG00000151461,UPF1,UPF2,pull down|atpase assay|anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,direct interaction|physical association,18066079|19503078|19478851|16086026,small scale,0.69
P30622,Q14203,6249,1639,ENSG00000130779,ENSG00000204843,CLIP1,DCTN1,isothermal titration calorimetry|x-ray crystallography|static light scattering|surface plasmon resonance|molecular sieving,direct interaction,17828277|17828275,small scale,0.58
O15519,Q14790,8837,841,ENSG00000003402,ENSG00000064012,CFLAR,CASP8,molecular sieving|protease assay|x-ray crystallography,direct interaction|protein cleavage,19416807,small scale,0.49
P19022,P35222,1000,1499,ENSG00000170558,ENSG00000168036,CDH2,CTNNB1,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,17098867|18948590|17679699,small scale,0.53
O95347,Q15003,10592,23397,ENSG00000136824,ENSG00000121152,SMC2,NCAPH,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,21633354,small scale,0.42
Q13009,Q8TEW0,7074,56288,ENSG00000156299,ENSG00000148498,TIAM1,PARD3,anti tag coimmunoprecipitation,physical association,23263278,small scale,0.37
P09874,Q8IW19,142,200558,ENSG00000143799,ENSG00000169621,PARP1,APLF,anti tag coimmunoprecipitation|enzymatic study,physical association|physical interaction|direct interaction,20098424|18172500,small scale,0.56
P13010,Q8IW19,7520,200558,ENSG00000079246,ENSG00000169621,XRCC5,APLF,anti tag coimmunoprecipitation,physical association,20098424,small scale,0.37
O75821,Q13347,8666,8668,ENSG00000130811,ENSG00000084623,EIF3G,EIF3I,mass spectrometry studies of complexes,direct interaction,18599441,small scale,0.4
P62988,Q13351,,10661,,ENSG00000105610,,KLF1,nuclear magnetic resonance,direct interaction,24139988,small scale,0.4
O95747,Q9H4A3,9943,65125,ENSG00000172939,ENSG00000060237,OXSR1,WNK1,anti bait coimmunoprecipitation|protein kinase assay|two hybrid,physical association|phosphorylation reaction,16832045,small scale,0.45
P04637,Q96PM5,7157,25898,ENSG00000141510,ENSG00000163743,TP53,RCHY1,pull down|nuclear magnetic resonance,direct interaction,19043414,small scale,0.46
O75791,Q13094,9402,3937,ENSG00000100351,ENSG00000043462,GRAP2,LCP2,anti bait coimmunoprecipitation,physical association,20534575,small scale,0.37
P51587,Q14565,675,11144,ENSG00000139618,ENSG00000100206,BRCA2,DMC1,pull down,direct interaction,20729832,small scale,0.4
P62988,P98170,,331,,ENSG00000101966,,XIAP,anti tag coimmunoprecipitation,physical association,19273858,small scale,0.37
P10599,P32119,7295,7001,ENSG00000136810,ENSG00000167815,TXN,PRDX2,pull down,physical association,25402766,small scale,0.37
P62988,Q96PM5,,25898,,ENSG00000163743,,RCHY1,comigration in sds page,direct interaction,19043414,small scale,0.4
P62988,Q9Y4K3,,7189,,ENSG00000175104,,TRAF6,tandem affinity purification|anti bait coimmunoprecipitation|comigration in sds page,physical association|direct interaction,19091944|26068852|19675569,small scale,0.63
P51159,Q9BV36,5873,79083,ENSG00000069974,ENSG00000115648,RAB27A,MLPH,anti tag coimmunoprecipitation,physical association,12446441,small scale,0.37
P04049,P30086,5894,5037,ENSG00000132155,ENSG00000089220,RAF1,PEBP1,anti bait coimmunoprecipitation,physical association,21831839,small scale,0.37
P23528,P53667,1072,3984,ENSG00000172757,ENSG00000106683,CFL1,LIMK1,anti bait coimmunoprecipitation,physical association,20133759,small scale,0.37
Q13616,Q86VP6,8454,55832,ENSG00000055130,ENSG00000111530,CUL1,CAND1,pull down,direct interaction|physical association,25435324|16861300,small scale,0.5
P19419,P63165,2002,7341,ENSG00000126767,ENSG00000116030,ELK1,SUMO1,comigration in sds page,direct interaction,19684601,small scale,0.4
P63165,Q02078,7341,4205,ENSG00000116030,ENSG00000068305,SUMO1,MEF2A,comigration in sds page|anti tag coimmunoprecipitation,direct interaction|physical association,19684601,small scale,0.5
Q13616,Q15843,8454,4738,ENSG00000055130,ENSG00000129559,CUL1,NEDD8,anti tag coimmunoprecipitation|comigration in sds page,physical association|covalent binding|direct interaction,18723677|18264111|21765416,small scale,0.6
P15884,P35222,6925,1499,ENSG00000196628,ENSG00000168036,TCF4,CTNNB1,anti bait coimmunoprecipitation,physical association,21103407,small scale,0.37
P06213,Q13322,3643,2887,ENSG00000171105,ENSG00000106070,INSR,GRB10,anti bait coimmunoprecipitation,physical association,19648926,small scale,0.37
O95931,P35226,23492,100532731,ENSG00000100307,ENSG00000168283,CBX7,,anti bait coimmunoprecipitation,physical association,20543829,small scale,0.37
P35226,Q9HC52,100532731,57332,ENSG00000168283,ENSG00000141570,,CBX8,anti bait coimmunoprecipitation,physical association,20543829,small scale,0.37
Q99496,Q9HC52,6045,57332,ENSG00000121481,ENSG00000141570,RNF2,CBX8,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O14503,P04637,8553,7157,ENSG00000134107,ENSG00000141510,BHLHE40,TP53,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,22723347,small scale,0.42
P10415,Q14457,596,8678,ENSG00000171791,ENSG00000126581,BCL2,BECN1,anti tag coimmunoprecipitation,physical association,19050071,small scale,0.37
O14980,P04637,7514,7157,ENSG00000082898,ENSG00000141510,XPO1,TP53,anti bait coimmunoprecipitation,physical association,18952844,small scale,0.37
P10276,Q9Y618,5914,9612,ENSG00000131759,ENSG00000196498,RARA,NCOR2,classical fluorescence spectroscopy|two hybrid,direct interaction,20543827,small scale,0.44
P25942,Q13114,958,7187,ENSG00000101017,ENSG00000131323,CD40,TRAF3,biochemical,physical association,10428814,small scale,0.37
Q53EZ4,Q8WUM4,55165,10015,ENSG00000138180,ENSG00000170248,CEP55,PDCD6IP,pull down,physical association,18940611,small scale,0.37
P14635,Q13635,891,5727,ENSG00000134057,ENSG00000185920,CCNB1,PTCH1,anti tag coimmunoprecipitation,physical association,19502428,small scale,0.37
O60563,P50750,904,1025,ENSG00000129315,ENSG00000136807,CCNT1,CDK9,anti bait coimmunoprecipitation|x-ray crystallography|anti tag coimmunoprecipitation|pull down,physical association|direct interaction,20562857|22959624|26659056|20535204,small scale,0.69
P63000,Q9Y2A7,5879,10787,ENSG00000136238,ENSG00000061676,RAC1,NCKAP1,pull down,physical association,19363480|21107423,small scale,0.43
P38398,P51587,672,675,ENSG00000012048,ENSG00000139618,BRCA1,BRCA2,anti bait coimmunoprecipitation|tandem affinity purification,physical association,19369211,small scale,0.42
O15117,Q13094,2533,3937,ENSG00000082074,ENSG00000043462,FYB1,LCP2,anti bait coimmunoprecipitation,physical association,20534575,small scale,0.37
P19838,P25963,4790,4792,ENSG00000109320,ENSG00000100906,NFKB1,NFKBIA,tandem affinity purification|pull down|anti bait coimmunoprecipitation,physical interaction|physical association,14743216|17003112,high throughput|small scale,0.52
P10415,Q13625,596,7159,ENSG00000171791,ENSG00000143514,BCL2,TP53BP2,biochemical|peptide array|affinity chromatography technology|fluorescence technology|coimmunoprecipitation|proximity enzyme linked immunosorbent assay|surface plasmon resonance|two hybrid,physical association|direct interaction,8668206|18719108,small scale,0.63
P13010,P78527,7520,5591,ENSG00000079246,ENSG00000253729,XRCC5,PRKDC,x-ray crystallography,direct interaction,20023628,small scale,0.4
O00255,P17535,4221,3727,ENSG00000133895,ENSG00000130522,MEN1,JUND,x-ray crystallography|pull down|anti tag coimmunoprecipitation|isothermal titration calorimetry|two hybrid,direct interaction|physical association,22327296|12509449,small scale,0.62
P40337,Q13617,7428,8453,ENSG00000134086,ENSG00000108094,VHL,CUL2,pull down,physical association,25661653,small scale,0.37
P35226,Q99496,100532731,6045,ENSG00000168283,ENSG00000121481,,RNF2,pull down|anti bait coimmunoprecipitation,physical association,22902369|20543829,small scale,0.48
Q9NZN8,Q9UFF9,4848,9337,ENSG00000111596,ENSG00000155508,CNOT2,CNOT8,tandem affinity purification,physical association,11805826,small scale,0.37
O75175,Q9NZN8,4849,4848,ENSG00000088038,ENSG00000111596,CNOT3,CNOT2,anti bait coimmunoprecipitation,physical association,21984185,small scale,0.37
A5YKK6,Q9NZN8,23019,4848,ENSG00000125107,ENSG00000111596,CNOT1,CNOT2,tandem affinity purification,physical association,11805826,small scale,0.37
P31749,P67775,207,5515,ENSG00000142208,ENSG00000113575,AKT1,PPP2CA,phosphatase assay,dephosphorylation reaction,26256536,small scale,0.25
P56524,P61981,9759,7532,ENSG00000068024,ENSG00000170027,HDAC4,YWHAG,anti tag coimmunoprecipitation,physical association,17159145,small scale,0.37
Q13620,Q86VP6,8450,55832,ENSG00000158290,ENSG00000111530,CUL4B,CAND1,pull down,direct interaction,25435324,small scale,0.4
O15234,P61326,22794,4116,ENSG00000108349,ENSG00000162385,CASC3,MAGOH,tandem affinity purification|anti tag coimmunoprecipitation,physical association,18066079|16170325|19478851,small scale,0.53
Q92843,Q92934,599,572,ENSG00000129473,ENSG00000002330,BCL2L2,BAD,isothermal titration calorimetry,direct interaction,22000515,small scale,0.4
Q07817,Q13323,598,638,ENSG00000171552,ENSG00000100290,BCL2L1,BIK,anti tag coimmunoprecipitation,physical association,9027312,small scale,0.37
P55957,Q07817,637,598,ENSG00000015475,ENSG00000171552,BID,BCL2L1,fluorescence polarization spectroscopy|isothermal titration calorimetry,direct interaction,27159560|24814347,small scale,0.52
P05362,P20701,3383,3683,ENSG00000090339,ENSG00000005844,ICAM1,ITGAL,surface plasmon resonance,direct interaction,16595626,small scale,0.4
P61964,Q15291,11091,5929,ENSG00000196363,ENSG00000117222,WDR5,RBBP5,pull down|isothermal titration calorimetry,direct interaction,21220120,small scale,0.46
Q13619,Q92466,8451,1643,ENSG00000139842,ENSG00000134574,CUL4A,DDB2,anti bait coimmunoprecipitation,physical association,16473935,small scale,0.37
P55957,Q07820,637,4170,ENSG00000015475,ENSG00000143384,BID,MCL1,fluorescence polarization spectroscopy|mass spectrometry study of hydrogen/deuterium exchange|anti bait coimmunoprecipitation,direct interaction|physical association,27159560|19074266,small scale,0.59
