drugName,entrezGeneIds,pubmedId,author
nitroglycerin,4881,19732062|12890708,Bauersachs J (2009)|Madhani M (2003)
rocuronium,1135|3359|1129,17016423|16931985|11752352|17139284|19417616|18633030|10648343|20400785,Imming P (2006)|Jonsson M (2006)|Chen X (2002)|Overington JP (2006)|Jonsson Fagerlund M (2009)|Liu M (2008)|Min KT (2000)|Milchert M (2009)
diphemanil methylsulfate,1131,17016423|11752352|17139284,Imming P (2006)|Chen X (2002)|Overington JP (2006)
nateglinide,5468|6833,17082235|10773014|12764427|11716850|11728565|12196472|12604678,Scarsi M (2007)|Hu S (2000)|Norman P (2001)|Sunaga Y (2001)|Dornhorst A (2001)|Hansen AM (2002)|Chachin M (2003)
atracurium besylate,1135,17016423|17139284|19417616,Imming P (2006)|Overington JP (2006)|Jonsson Fagerlund M (2009)
pralidoxime,43|590,10801325|14529460|19519385|19651196|18825528|11393267,Wong L (2000)|Kovacic P (2003)|Jokanovic M (2009)|Pohanka M (2009)|Khan S (2001)
risperidone,1813|3358|148|147|3269|1814|1815|3356|3350|151|3352|150|1812|152,16513859|15140279|15907153|11752352|17059881|11132243|16730699|7898773|18542932|15992090|7691623|8925876|9197279|7520908|7531353|17316700,Remington G (2006)|Lane HY (2004)|Fenton C (2005)|Chen X (2002)|Catafau AM (2006)|Richelson E (2000)|Naiker DV (2006)|Canton H (1994)|Nourian Z (2008)|Keks NA (1999)|Sleight AJ (1993)|Eltze M (1996)|Schreiber S (1997)|Leysen JE (1994)|Megens AA (1994)|Uchida S (2007)
naftifine,6713,11752352|1287164|3877503|12499173|8834895|1951574,Chen X (2002)|Ryder NS (1992)|Ryder NS (1985)|Mukherjee PK (2003)|Favre B (1996)|Vanden Bossche H (1991)
esomeprazole,495,11752352|19210109|19606942|18627213,Chen X (2002)|Vachhani R (2009)|Saccar CL (2009)|McKeage K (2008)
meclizine,3269,7513381|1678430|1362160|1350745,Oishi R (1994)|Taniguchi K (1991)|Pasquale CP (1992)|Martins MA (1992)
pentamidine,1787,18263620,Sun T (2008)
riluzole,23657|6331,12629173|10899284|20059984|20226190|8813989|9262334|20590601|17139284|12440368|17016423,Dunlop J (2003)|Azbill RD (2000)|Hayashida K (2010)|Gosselin RD (2010)|Wokke J (1996)|Song JH (1997)|Weiss S (2010)|Overington JP (2006)|Schwartz G (2002)|Imming P (2006)
hydrocortisone,301|2908,17016423|11142771|17139284|8060156|1712816|16895953|17038445|16980198|16891588|17086345,Imming P (2006)|Sato-Matsumura KC (2000)|Overington JP (2006)|Serres M (1994)|White MV (1991)|Rautanen A (2006)|Shaw JR (2007)|Hammer F (2006)|Grossman R (2006)|Sher L (2006)
zileuton,240,17394438|10377029|11529688|11752352|20436887|19645854|11561080|10322101|10694244|8826571|8058773,Berger W (2007)|Hardy DB (1999)|Qian C (2001)|Chen X (2002)|Zouboulis CC (2009)|Zouboulis CC (2010)|Coffey MJ (2001)|Wenzel SE (1999)|Yamashita M (2000)|Wenzel SE (1996)|Guidot DM (1994)
modafinil,6531|147,14658934|16885432|17477916|11222668|15537337|17016423|17681557|17139284,Swanson JM (2003)|Madras BK (2006)|Dopheide MM (2007)|Wisor JP (2001)|Zhou J (2004)|Imming P (2006)|Chen CR (2007)|Overington JP (2006)
scopolamine,1133|1129|1131|1132|6476|1128,18045203|11752352|15627430|20230815|20398692|14534362,Reitz AB (2007)|Chen X (2002)|Johnson DE (2005)|Minai-Tehrani D (2010)|Klinkenberg I (2010)|Murasaki O (2003)
carbinoxamine,3269,19761204|1143714|7513381|16574052|11752352,Yang J (2009)|Darby WJ (1975)|Oishi R (1994)|Ramadan AA (2006)|Chen X (2002)
etodolac,5742|6256|5743,8566109|9146894|16473424|12358053|15198222|15699354|11275997|11009046|10594327|12824918|11752352,Glaser K (1995)|Riendeau D (1997)|Hirate K (2006)|Campbell NB (2002)|Wilson JE (2004)|Kolluri SK (2005)|Chen WS (2001)|Svendsen KB (2000)|Kusuhara H (1999)|Chen WS (2003)|Chen X (2002)
prilocaine,6331,17016423|11752352|17139284,Imming P (2006)|Chen X (2002)|Overington JP (2006)
epinastine,3274|3269|148|3356|3363|150,16131920|17534605|1972625|11752352|8836655|10596692,Bielory L (2005)|Tsujii T (2007)|Walther G (1990)|Chen X (2002)|Dupont LJ (1996)|Dupont LJ (1999)
tranylcypromine,4129|4128,20655983|10494892|15049511|8749840|12504917|16495723|14574774|9829163|15351283|15276688|10548268|10027835|11752352,Shioda K (2010)|Wiest SA (1999)|Salsali M (2004)|Todd KG (1995)|Finberg JP (2002)|Gatch MB (2006)|Nolen WA (2003)|Volz HP (1998)|Lang W (2004)|Shioda K (2004)|Cohen C (1999)|Loescher W (1999)|Chen X (2002)
isoflurane,513|27032|2554|2741|3736|2890|801,17016423|17139284|8214757|20826568|20097266|16973644|19298752|8786535|17207582|15845548|16129978|17229152,Imming P (2006)|Overington JP (2006)|Kosk-Kosicka D (1993)|McCracken ML (2010)|Seo K (2010)|Grasshoff C (2006)|Matchett GA (2009)|Dildy-Mayfield JE (1996)|Guo L (2007)|Fan RS (2005)|Bickler PE (2005)|Sazonova OV (2007)
ethotoin,6331,15066664|17016423|11752352|17139284,Lenkowski PW (2004)|Imming P (2006)|Chen X (2002)|Overington JP (2006)
tretinoin,9052|8854|216|6258|5918|6257|190|5916,15677768|15086536|15069081|15366004|15950969|15299009|15950488|16837774|16207763|16166285|15245423|17161848|14993281|17182884|16456186|16420438|15897880|15059893|16392701|16109390|17184907|15379735|17016423|17139284|11752352|10592235|8394693|1332684|10792999,Xu J (2005)|Inoue S (2004)|Mic FA (2004)|Everts HB (2005)|Bordelon T (2004)|Doxakis E (2005)|Gidlof AC (2006)|Matt N (2005)|Kim H (2005)|Everts HB (2004)|Koda T (2007)|Wang J (2004)|He JC (2007)|Day RM (2006)|Schrage K (2006)|Zirn B (2005)|Youssef EM (2004)|Nagasawa H (2005)|Hoegberg P (2005)|Stafslien DK (2007)|Redfern CP (2004)|Imming P (2006)|Overington JP (2006)|Chen X (2002)|Berman HM (2000)|Kamei Y (1993)|Reddy AP (1992)|Borger DR (2000)
hexachlorophene,6392|2746,10487417|570044|19531491,Lokanatha V (1999)|Wang JL (1978)|Li M (2009)
dolasetron,3359,11752352|15740177|9257083|14635083|8141114|1397053|9506240|14586600|7493546|9341357,Chen X (2002)|Gan TJ (2005)|Balfour JA (1997)|Eisenberg P (2003)|Conroy T (1994)|Boeijinga PH (1992)|Gregory RE (1998)|Monaca-Charley C (2003)|Reith MK (1995)|Hui YF (1997)
clopidogrel,64805,15308557|14668029|11752352|16835302|12615691|15199474|19463375|15291969|15269827,Wihlborg AK (2004)|Dorsam RT (2003)|Chen X (2002)|Savi P (2006)|van Gestel MA (2003)|Herbert JM (2003)|Gladding P (2008)|Wang L (2004)|Taubert D (2004)
tetracycline,5621|23569,11752352|18365024|17964793,Chen X (2002)|De Luigi A (2008)|Knuckley B (2008)
potassium chloride,6557|6558|6560|57468|9990|10723,16093448|16807401|16713495|17016423|11752352|17139284|12920401|17418819|16949074|16943364|16936706|17134779|17008020,Fujiwara TM (2005)|Pressler CA (2006)|Bichet DG (2006)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Hebert SC (2003)|Capo-Aponte JE (2007)|Misri S (2006)|Klein T (2006)|Tornberg J (2007)|Takayama C (2007)|Takayama C (2006)
irinotecan,7150|116447,16309825|16454746|15255290|19852077|15975002|15170677|9342501|11752352|17016423|17139284,Nakagawa H (2006)|Ishikawa T (2006)|Yoshikawa M (2004)|Ramesh M (2010)|Yang X (2005)|Chabot GG (1997)|Chen X (2002)|Imming P (2006)|Overington JP (2006)
methimazole,7173,10365684|11241400|1320313|1663395|11752352|12755690,Sugawara M (1999)|Manzon RG (2001)|Magnusson RP (1992)|Chiovato L (1991)|Chen X (2002)|Ferreira AC (2003)
mometasone,2908,12127907|11752352|10518812|8439518|9793625,Zhang X (2002)|Chen X (2002)|Lumry WR (1999)|Isogai M (1993)|Smith CL (1998)
metyrosine,7054,1168577|11752352|17374|15710413|7409209,Shore PA (1975)|Chen X (2002)|Nasrallah HA (1977)|Yoshimoto Y (2005)|Moore KE (1980)
benzquinamide,1133|3269|1129|1131|1132|1128,17016423|17139284|6130555|2905706,Imming P (2006)|Overington JP (2006)|Niemegeers CJ (1982)|Maurer H (1988)
olopatadine,3269|6283|6284|6285|6271|6273,20402382|12046981|8951675|11496828|20406593|15942272|15646365|11752352|20482305|16864903|11944917,Roland PS (2010)|Ohmori K (2002)|Yanni JM (1996)|Ohmori K (2001)|Kaliner MA (2010)|Tamura T (2005)|Ohmori K (2005)|Chen X (2002)|Kishimoto K (2006)|Okada M (2002)
hydrocortamate,2908,17016423|17139284,Imming P (2006)|Overington JP (2006)
alprostadil,5732|5731,10509658|11752352|15840408|10670413|15560119|14561849|16516814|11524243,Dijkstra BG (1999)|Chen X (2002)|Takahashi HK (2005)|Ito Y (2000)|Norel X (2004)|Takahashi HK (2003)|Matlhagela K (2006)|Tokuda H (2001)
clidinium,1128,17016423|11752352|17139284,Imming P (2006)|Chen X (2002)|Overington JP (2006)
malathion,590,16782587|17364237|17016423|16716398|17139284|10592235,Ramos ZR (2006)|Ahmed M (2007)|Imming P (2006)|da Silva AP (2006)|Overington JP (2006)|Berman HM (2000)
etoposide,7153|7155,16377807|16309315|17514873|16271071|17361331|11752352|17578914,Moneypenny CG (2006)|Lopez-Lazaro M (2005)|Winnicka K (2007)|de Lucio B (2005)|Uesaka T (2007)|Chen X (2002)|Azarova AM (2007)
hydroflumethiazide,771|6557|3778|768|476|762|759|760,19119014|17016423|11752352|17139284|2226620,Temperini C (2009)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Schaeffer P (1990)
tirofiban,3690|3674,20210689|11752352|10592235|11565896|11929319|11342206|12057986|11076818,Juwana YB (2010)|Chen X (2002)|Berman HM (2000)|von Segesser LK (2001)|Kondo K (2002)|Dickfeld T (2001)|Roffi M (2002)|Theroux P (2000)
oxcarbazepine,6331,17016423|20502724|17139284,Imming P (2006)|Vohora D (2010)|Overington JP (2006)
propiomazine,1133|1812|148|147|3269|1815|3356|146|1131|1132|1813|1129|1128|3358,17016423|17139284|11752352|14035428,Imming P (2006)|Overington JP (2006)|Chen X (2002)|KRAKOWSKI AJ (1962)
roxithromycin,5243,16595573|17164692,Beltinger J (2006)|Kaufmann P (2006)
phenelzine,4129|18|2572|4128|84706|2875|8639,11752352|14574774|9829163|16370964|17912044|7092487|19201819|18700056|8749840|19203467|1881457|1610412|17768678|11775064|7931216|8539478|8694842|9570326|1483111,Chen X (2002)|Nolen WA (2003)|Volz HP (1998)|McIntyre RS (2006)|Wooters TE (2007)|Pickar D (1982)|Chiche F (2009)|Chenu F (2009)|Todd KG (1995)|Todd KG (2009)|McKenna KF (1991)|McManus DJ (1992)|MacKenzie EM (2008)|Tanay VA (2001)|McKenna KF (1994)|Biasi D (1995)|Lizcano JM (1996)|Kumar D (1998)|Tipnis UR (1992)
propantheline,1128,16080359|3572714|2656175|17016423|11752352|15337834,Mokry J (2005)|Saitoh H (1986)|Lukacs VA (1989)|Imming P (2006)|Chen X (2002)|Trkulja V (2004)
estradiol,8856|2100|2099,17327420|2011412|17464340|17138652|11752352|17125913,Xue Y (2007)|Sasson S (1991)|Vijayanathan V (2007)|Lehnes K (2007)|Chen X (2002)|Brama M (2007)
mefenamic acid,5742|5743,9626023|16223958|7832763|11316248|9773153|15792781|10393680|11752352|17150210,Cryer B (1998)|Joo Y (2006)|Gierse JK (1995)|Sinniah R (2001)|Laudanno OM (1998)|Bhat AS (2005)|Walton LJ (1999)|Chen X (2002)|Bhat AS (2007)
cryptenamine,1131|1132|1128|1133|1129,17016423|17139284|5918523|5674398,Imming P (2006)|Overington JP (2006)|Jandhyala BS (1966)|Jandhyala ML (1968)
marimastat,4314|4313|4318|4317|4319|64066|79148|64386|56547|4322|4325|4312|8510|10893|4321|4316|4320|4323|4324|4326|4327|9313|118856,11752352|12527923|11790786|15748894|15056115|10460642|17234180|12763661|10852638|10669951,Chen X (2002)|Shinoda K (2003)|Bernardo MM (2002)|Bourd-Boittin K (2005)|Fanchon S (2004)|Treharne GD (1999)|Nenan S (2007)|Underwood CK (2003)|Heath EI (2000)|Belotti D (2000)
naproxen,5742|5743,17541796|17604186|17612049|11752352|17532719|17521299|17607546,James MJ (2007)|Dhir A (2007)|White WB (2007)|Chen X (2002)|Hassan-Alin M (2007)|Kumar P (2007)|Albertini R (2007)
gadopentetate dimeglumine,5226,20235752|10592235,Akkemik E (2010)|Berman HM (2000)
perindopril,1636,16370923|11752352|11929321|19379059,Alfakih K (2006)|Chen X (2002)|Song JC (2002)|Brugts JJ (2009)
tripelennamine,3269,10208755|3253717|996853|6759742|11752352|9226736,Ohta Y (1999)|Sansone M (1988)|Chiba S (1976)|Shimizu K (1982)|Chen X (2002)|Suzuki T (1997)
primidone,2557|2891|1139|2554|2558|2559|2555|2898|1137|2556,10209232|10487207|11264449|16248797|17016423|11752352|17139284|14579514,Mehta AK (1999)|Krasowski MD (1999)|Yamakura T (2001)|Arias HR (2005)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Whiting PJ (2003)
sulfasalazine,5742|23657|6916|5468|240|5319|38|1147|3551|5743,12950415|11752352|11587223|6135423|16939423|18544567|18077625|15824083|2882965|6131674|6428914|9256165|17016423|17139284|1357724|11054378|12208114|12463455|14742690|16855178,Allgayer H (2003)|Chen X (2002)|Gout PW (2001)|Stenson WF (1983)|Desreumaux P (2006)|Schwab M (2008)|Linard C (2008)|Rousseaux C (2005)|Nielsen OH (1987)|Sircar JC (1983)|Allgayer H (1984)|Pruzanski W (1997)|Imming P (2006)|Overington JP (2006)|Faison LD (1992)|Weber CK (2000)|Cipolla G (2002)|Generini S (2002)|Mifflin RC (2004)|Distrutti E (2006)
candesartan,185|4193,12504781|16901636|10968199|16601569|17588300|10826401|19563275|9892163|10805052|11752352|19436650|30017913,Caballero-George C (2003)|Engelhorn T (2006)|Wada T (1996)|Vauquelin G (2006)|Meredith PA (2007)|Malmqvist K (2000)|Mendis B (2009)|Cervenka L (1999)|McInnes GT (2000)|Chen X (2002)|Baguet JP (2009)|De Cesare V (2018)
tolazoline,3274|3269|148|152|151|150,21948594|6386273|8487790|11938943|16368348|17139284|17016423|9089664,Gaulton A (2012)|Ward RM (1984)|Roll C (1993)|Song W (2002)|Teskin O (2006)|Overington JP (2006)|Imming P (2006)|Trendelenburg AU (1997)
gentamicin,4036|1719,16488503|15023454|15777622|20350811,Nagai J (2006)|Watanabe A (2004)|Takamoto K (2005)|Al-Omary FA (2010)
tazarotene,5916|5914|5915|6257,18034539|17016423|11752352|17139284|10592235|16144296|10828316|9035701|15383624|14675762|11519864|12942109|15102095,Arechalde A (2000)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Berman HM (2000)|Baumann L (2005)|Nagpal S (2000)|Chandraratna RA (1996)|Yen A (2004)|Meder W (2003)|Wang Q (2001)|Jones PH (2003)|Orlandi A (2004)
fenoldopam,1812|148|147|151|146|1816|150|152,11752352|8103596|19293728|7670737|17016423|17139284,Chen X (2002)|Dhasmana KM (1993)|Zeng C (2009)|Martin SW (1995)|Imming P (2006)|Overington JP (2006)
halazepam,2562|2560|2561|2554|2558|2555|2569|2565|2563|2570|200959|2556|2566|2568|2564|2567,6738302|2867566|17016423|17139284|11752352,Iorio LC (1984)|Wamsley JK (1985)|Imming P (2006)|Overington JP (2006)|Chen X (2002)
alfentanil,4988,16906017|11240090|11752352|10955836|15694871,Oertel BG (2006)|Leung A (2001)|Chen X (2002)|Garrido M (2000)|Loetsch J (2005)
dicyclomine,1128|1129,17016423|11752352|17139284|19533734|9059856,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Jin CH (2009)|Pavia J (1997)
minaprine,43|1812|6532|4128|1813|3356|3357|1128|3358,18045214|10052979|17016423|17139284|3954800|3836113|2975224|1361012|2530096|11752352|2586634,Duarte CD (2007)|Contreras JM (1999)|Imming P (2006)|Overington JP (2006)|Kan JP (1986)|Biziere K (1985)|Muramatsu M (1988)|Kodama K (1992)|Nabeshima T (1989)|Chen X (2002)|Worms P (1989)
pentoxifylline,5142|134|5141|135|8654|4907,17016423|17139284|3588607|11752352|19997047|16426349,Imming P (2006)|Overington JP (2006)|Daly JW (1987)|Chen X (2002)|Kreth S (2010)|Ustunsoy H (2006)
proparacaine,6336,17016423|17139284|9476974,Imming P (2006)|Overington JP (2006)|Tella SR (1998)
indapamide,3784|3753,11351021|11804849|11752352,Li RA (2001)|Ohya S (2002)|Chen X (2002)
tropicamide,1132|1128|1131|1129,17016423|11752352|17139284|17594079,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Betz AJ (2007)
biperiden,1135|1128,17016423|17139284|11752352|8081071|10370904|9798802|10907719,Imming P (2006)|Overington JP (2006)|Chen X (2002)|Eltze M (1994)|Eltze M (1999)|Pehl C (1998)|Hosoi R (2000)
ribavirin,132|3614|5167|22978|3615,15917509|17379518|11752352|16421290|16152757|16293677|17016423|17139284,Wu JZ (2005)|Kumarapperuma SC (2007)|Chen X (2002)|Leyssen P (2006)|McHutchison JG (2005)|Gish RG (2006)|Imming P (2006)|Overington JP (2006)
phenylbutazone,5742|5740|5743,15563928|19849999|15939622|17016423|17139284|6434940|3917545|3517382|15489888|12213119|11752352,Morton AJ (2005)|Zitova A (2010)|Beretta C (2005)|Imming P (2006)|Overington JP (2006)|Marnett LJ (1984)|Reed GA (1985)|Tobin T (1986)|Takada Y (2004)|Arifah AK (2002)|Chen X (2002)
fentanyl,4986|4985|4988,18325678|15828941|15665994|16861092|15868528|19403616|16372825|11752352|16332149|16797997|16376082|16114980|15589524,Pascoe JE (2008)|Poonawala T (2005)|Rodrigues AR (2005)|Darwish M (2006)|Sahin AS (2005)|Hajiha M (2009)|Darwish M (2005)|Chen X (2002)|Scott LJ (2005)|Dardonville C (2006)|Dosen-Micovic L (2006)|You HJ (2005)
meloxicam,5742|5743,10381057|10381787|10340919|10220944|11752352|10567199,Blanco FJ (1999)|Panara MR (1999)|Tegeder I (1999)|Poulsen Nautrup B (1999)|Chen X (2002)|Gross JM (1999)
orciprenaline,154,10490901|11752352|2870555|10973730|8760245|3168573,Kimura M (1999)|Chen X (2002)|Fitch KD (1986)|Hu DN (2000)|Singh H (1996)|Gelmont DM (1988)
propofol,2562|6329|2561|6326,16402123|18574460,Franks NP (2006)|Haeseler G (2008)
acetazolamide,358|766|762|759|761|23632|760,12830709|12147198|15169637|14704128|14753499|18336310|20605094|12956733|11430635|8667211|10651143|10713865|10592235,Mu SM (2003)|Xiang Y (2002)|Xiang Y (2004)|Ma B (2004)|Oshio K (2004)|Mincione F (2008)|Avvaru BS (2010)|Perez Velazquez JL (2003)|Puscas I (2001)|Puscas I (1996)|Meierkord H (2000)|Puscas I (2000)|Berman HM (2000)
tadalafil,8654|50940,17979301|11752352|14498756|12625031|12603396|12891884|12074215|17696499|19641165,Zoraghi R (2007)|Chen X (2002)|Curran M (2003)|Rotella DP (2003)|Montorsi F (2003)|Roumeguere T (2003)|Eardley I (2002)|Weeks JL (2007)|Weeks JL (2009)
carprofen,5742|5743,15939622|15198222|11752352|11703020|17181139|10895904,Beretta C (2005)|Wilson JE (2004)|Chen X (2002)|Brideau C (2001)|Narlawar R (2006)|Kay-Mugford P (2000)
disulfiram,1621|217,19720750|16051882|17220694,Gaval-Cruz M (2009)|Mackenzie IS (2005)|Ho MP (2007)
ethynodiol diacetate,2099|5241,17016423|4123746|17139284|11752352|858280|166800,Imming P (2006)|Kappus H (1973)|Overington JP (2006)|Chen X (2002)|Tamaya T (1977)|Briggs MH (1975)
enprofylline,5142|134|136|5141|135|140,17016423|17139284|10496952|15980878|11752352|3002801|2262902|1885257|17670210|3446047,Imming P (2006)|Overington JP (2006)|Linden J (1999)|Holgate ST (2005)|Chen X (2002)|Ukena D (1985)|Dar MS (1990)|Dulloo AG (1991)|Featherstone RL (2004)|Berg G (1987)
menthol,79054|162514|8989|4986,11752352|7529306|12654248|14757700|15046718|15190109|15311065|16829128|15931068|7851817|11897159,Chen X (2002)|Eccles R (1994)|Story GM (2003)|Behrendt HJ (2004)|Bandell M (2004)|Andersson DA (2004)|Stein RJ (2004)|Macpherson LJ (2006)|Namer B (2005)|Taniguchi Y (1994)|Galeotti N (2002)
diazepam,2562|2560|2561|2554|2558|2555|2569|2565|2563|2570|706|200959|2556|2566|55879|2568|2564|2567,11752090|18384456|15009644|11752352|17631921,Moehler H (2002)|Riss J (2008)|Derry JM (2004)|Chen X (2002)|Falchi AM (2007)
phenmetrazine,6530|6531,17016423|12106802|17017961|17139284,Imming P (2006)|Rothman RB (2002)|Rothman RB (2006)|Overington JP (2006)
trifluoperazine,1813|148|50632|801|6275|7134,11873706|11752352|1676523|945467|8102973|15695070|8150214|17016423|17139284|6135146|17407813|21129983|10592235|20421509|9525919,Seeman P (2002)|Chen X (2002)|Schmidt MH (1991)|Seeman P (1976)|Lahti RA (1993)|Cahir M (2005)|Fujinaga M (1994)|Imming P (2006)|Overington JP (2006)|Huerta-Bahena J (1983)|Madrid PB (2007)|Torres-Piedra M (2011)|Berman HM (2000)|Malashkevich VN (2010)|Kleerekoper Q (1998)
mifepristone,2908|5241,15909120|15336699|10796070|16723527|15120421|11752352|10374120|10806733|10682471|10699595|11783365,Gu G (2005)|Aida K (2004)|LeVan TD (1999)|de Pablos RM (2006)|Attardi BJ (2004)|Chen X (2002)|Greb RR (1999)|Gao Y (1998)|Sun M (1998)|Hazra BG (2000)|Jiang J (2001)
brompheniramine,1133|3269|1129|1131|1132|1128,10212017|11752352|7714410|7855217|1680053|1970615,Yasuda SU (1999)|Chen X (2002)|Yanni JM (1994)|Cusack B (1994)|Boekesoy TA (1991)|Onaran HO (1990)
loperamide,4986|5443|4985|4988|801|773,10087042|11474216|1322429|2545766|2832297|2855105|11752352|6319884|18284554|14592702|8488368|2851449|10991984|2820051|10949586|2836258|17016423|17139284|8183255,DeHaven-Hudkins DL (1999)|Nomura A (2001)|Auernhammer CJ (1992)|Ambrosi B (1989)|Ambrosi B (1987)|Bochicchio D (1988)|Chen X (2002)|Giagnoni G (1983)|di Bosco AM (2008)|Tan-No K (2003)|Roge J (1993)|Diener M (1988)|Suzuki T (2000)|Mellstrand T (1987)|Daly JW (2000)|Stoll R (1988)|Imming P (2006)|Overington JP (2006)|Church J (1994)
progabide,2554|2550,7831422|2985405|9443561|17139284|17016423|11752352,Grech DM (1993)|Fadda F (1985)|Agmo A (1998)|Overington JP (2006)|Imming P (2006)|Chen X (2002)
clocortolone,2908,18022656|12188035|18691892,Buchwald P (2008)|Tanigawa K (2002)|Ali A (2008)
tolazamide,3758,17016423|17139284|8799949|10354277,Imming P (2006)|Overington JP (2006)|Szabo C (1996)|Asano K (1999)
dobutamine,154|153,9279221|16627864|15564877|11752352|12098582|16325050,Tibayan FA (1997)|Raddatz A (2006)|La Rosee K (2004)|Chen X (2002)|Junker V (2002)|Bruck H (2005)
oxazepam,2562|2557|2561|2554|2560|2558|2559|2555|2569|2565|2563|2570|200959|2556|2566|55879|2568|2564|2567,11752090|18384456,Moehler H (2002)|Riss J (2008)
donepezil,43|3356,11893059|10641971|11752352|20522977|10368299|10466911|20193764|10513568|10024872|14643839|16045972,Sugimoto H (2002)|Jann MW (2000)|Chen X (2002)|Ki YS (2010)|Kryger G (1999)|Shepherd G (1999)|Repantis D (2010)|Kosasa T (1999)|Davis KL (1999)|Hayslett RL (2003)|Hayslett RL (2005)
nalbuphine,4986|4985|4988,17016423|17139284|8388112|15602503|10534607|17407276|15655510|16517095|19403853|11752352|8093631|2826773|9399970|9084061|18810678|18425947|10844102,Imming P (2006)|Overington JP (2006)|Hoehe M (1993)|Mello NK (2005)|Gear RW (1999)|Peng X (2007)|Chen SL (2005)|Tao PL (2006)|Smith MA (2009)|Chen X (2002)|Chen JC (1993)|De Souza EB (1988)|Picker MJ (1997)|Zernig G (1997)|Meerpohl JJ (2008)|McNicol ED (2008)|Kishioka S (2000)
flurandrenolide,2908,20346397|16255837|16507850,Baschant U (2010)|Fitzgerald P (2006)|Issar M (2006)
cysteamine,4887|6750,1314592|6142843|2901134|11752352|2653642|4080089,Li W (1992)|McIntosh C (1984)|McIntosh CH (1988)|Chen X (2002)|Ahren B (1989)|Terry LC (1985)
levamisole,251|1136,18719742|10951365|11304750|11403767|12615144|11850443|17629760|17314321|17016423|17139284|10592235|19668355|15280391,Mota A (2008)|Chang YL (2000)|Funk CJ (2001)|de Aguiar Matos JA (2001)|Soory M (2003)|McDougall K (2002)|Parker S (2007)|Rayes D (2007)|Imming P (2006)|Overington JP (2006)|Berman HM (2000)|Hu Y (2009)|Culetto E (2004)
methylphenobarbital,2557|2891|1139|2554|2558|2559|2555|2898|1137|2556,10209232|21194017|10487207|11264449|16248797|17016423|11752352|17139284|20692323|14579514,Mehta AK (1999)|Olsen RW (2011)|Krasowski MD (1999)|Yamakura T (2001)|Arias HR (2005)|Imming P (2006)|Chen X (2002)|Overington JP (2006)|Roden WH (2010)|Whiting PJ (2003)
perphenazine,1813|801|1812,15007534|2573104|11873706|7508675|7828655|11752352|12366848|2885243|11409178|10516112|17455212,Talvik M (2004)|Farde L (1989)|Seeman P (2002)|Hoyberg OJ (1993)|Qin ZH (1994)|Chen X (2002)|Edlind T (2002)|Natochin YuV (1987)|Kawai M (2001)|Mongin AA (1999)|Dolzan V (2007)
dacarbazine,5226|23649,20235752|10592235|17016423|17139284|3098406,Akkemik E (2010)|Berman HM (2000)|Imming P (2006)|Overington JP (2006)|Loenn U (1987)
pseudoephedrine,154|6530|148|6532|22809|467|1386|468|2353|3725|122953|22926|466|11016|3558|4772|7124|6531|153|150,17016423|17139284|10449190|12373557|15189772|11772135|21631396|24365491,Imming P (2006)|Overington JP (2006)|Vansal SS (1999)|Foley KF (2002)|Wee S (2004)|Wellington K (2002)|Fiebich BL (2012)|Wu Z (2014)
levorphanol,4986|4985|4988,17039381|12975489,Prommer E (2007)|Allen RM (2003)
aminolevulinic acid,210,10812836|12107644|12079382|10519994|11752352|11906825|10879826,Sakai T (2000)|Flora SJ (2002)|Frere F (2002)|Akagi R (1999)|Chen X (2002)|Tomas-Zapico C (2002)|Vajpayee P (2000)
terbinafine,6713,12963042|12226513|12477372|19874252|1543672|12100530|14638499|11752352,Klobucnikova V (2003)|Wentzinger LF (2002)|Darkes MJ (2002)|Krishnan-Natesan S (2009)|Ryder NS (1992)|Sander CS (2002)|Leber R (2003)|Chen X (2002)
drostanolone,367,15351799|3758193|11752352,Takahashi M (2004)|Zakar T (1986)|Chen X (2002)
prednisolone,2908,19482847|2879901,Ikonomidis I (2009)|Boudinot FD (1986)
diflunisal,5742|5743,12852483|15755648|8737748|11752352|10825891|11673972|11315375,Cappon GD (2003)|Chen QH (2005)|Young JM (1996)|Chen X (2002)|Jeske AH (1999)|Mao H (2001)|Moore PA (2001)
vardenafil,5149|5148|8654,18779324|17959709|12955149|11890515|17979301|11752352|14626653|16926278|11669467|12625845,Zhang XJ (2008)|Wang H (2008)|Sung BJ (2003)|Saenz de Tejada I (2001)|Zoraghi R (2007)|Chen X (2002)|Scheen AJ (2003)|Blount MA (2006)|Kim NN (2001)|Carrier S (2003)
ranitidine,3274,11752352|7554999,Chen X (2002)|Pattichis K (1995)
tacrolimus,2280,17524933|16289353,Masri M (2007)|Labrande C (2005)
benzphetamine,6571|150|148|6531,7751968|17016423|17139284|15728379|15955613,Sulzer D (1995)|Imming P (2006)|Overington JP (2006)|Kahlig KM (2005)|Sulzer D (2005)
