drugName,entrezGeneIds,pubmedId
ritonavir,3627|1576|5243|1244|7099|348|4363|8856|1577|54577|54659|2648|1565|345|282617|387129|1571|7421|1555,11141242|21393461|21953914|17664327|9187528|26287941|15388451|17700364|15809899|11745741|25923589|17058217|24433361|23996099|17324111|26174719|14600574|24997317|16355344|28718515|1655344|21288825|25151207|20504240|25622064|17148966|26857335|9278209|14977870
daunorubicin hydrochloride,5594|367|7849|5423|641|51426|3417|3320|4297|7532|3326|79915|328|7157|2099|2078|6256|2237|6097|7251|7486|5965|4137|5429|6275|29994|10919|7068|672|7398|7421|11201,
peptide analog 47,1803,
arachidonoyl glycine,328|390245|5429|10919|2648|5965|10951|246|3248|11201|55775|5423|7421|247|7398|51426|3028,
pmid30185082-compound-54,27346,
chembl2146146,1128|1129|1131,
gnf-pf-3582,9682|1557|1559|4780|4137|29994|1544|51053,
gnf-pf-2812,5315|4286|6607|6606|5347|7421|185|9367|9682,
atorvastatin,185|54659|64241|221458|5467|2247|959|27235|355|3627|7124|3123|3949|116519|1576|9177|1244|7052|3156|22937|1557|1577|5447|11309|2224|5602|7364|8856|19|54658|624|1565|3684|7035|29116|3363|3953|632|5294|9429|3990|3559|348|5327|1581|1558|5243|5444|3329|1071|949|6646|1559|4842|28234|6262|10599|1636|338|4547,22555810|16103896|15262185|20592455|20403483|18222353|18222355|20215968|30304062|16139565|12147302|17064201|20347093|16796407|10559511|18997459|27839692|19530961|18528690|19802823|17600820|22186618|29178257|15313180|17563401|18815589|18332269|20031582|18261733|15199031|26408409|18435918|24140730|15900215|18727922|18695978|17289397|15284534|25521355|24311107|21151198|16701707|20031551|17700359|18333374|15792677|25171759|19023160|16820635|15824087|19474787|12547874|16207471|19667110|17130267|26932749|21128988|17200431|21392722|19238649|18851956|18430057|16238680|19904013|11179461|15678257|12663600|15856070|20064494|14644397|15639473|25753936|17192770|16116691|11882317|12119202|9598838|15864114|10357840|12562847|10537160|15353498|12145148|15616150|15864113
asterric acid,5429|641|2237|2744|11201|3417|51426|328|5423|29994|10054|9682|10055|2740|5965|7486|4170|7341,
vitamin b3,84649|338442,
bifeprunox,3358|3356|3350|1814|1813|3363,
fasudil,57396|867|5613|2624|6093|207|5580|5582|9448|1565|9212|5567|5566|9475|1020|11200|120892|1613|1576|1022|10000|5588|6198|25865|6197|868|3845|23683|10110|1024,26177294|22257127|22541434|17018693
deuterated dextromethorphan,116443|10280,
metizoline,1812|3028|1544|10919,
chembl3545320,4714|4711|25915|4710|4540|4724|4706|4707|4698|4701|4709|4716|374291|4729|4725|4537|4719|4535|4712|4697|51079|4717|4704|4708|4705|4722|4694|55967|4696|4695|4702|54539|4718|4538|4536|4713|4700|4726|4715|51103|4723|4728|4720|91942|4541|126328|4539|56901|4731|29078,
methocarbamol,1565|1576|1544|1559,22931300
aptiganel hydrochloride,2629|3757,
tcmdc-124307,57337|9367|836|4864|672|79915,
gi-4000,4893|3845,25044103|25585100|24372276
metixene,1133|1128|1132|1129|1131,
epoetin zeta,2057,
chembl490029,5468,
amoxicillin,3122|3127|3586|8856|1544|3119|3107|1576|1565|1559|51426|3106|3123|1557|5429|3105|2952,30664875|10535882|16815316|22931300|12152002|20800921|9609616
cannabinoids,8850|2166|4988,17290447|11840318|31246565
tcmdc-124573,3064|4088|134864|3757|79915,
tetra-azabenzo[e]azulene derivative 1,552,
aminocyclopentenone compound 6,23476,
aurintricarboxylic acid,5423|246|4137|672|11201|51426|7421|2584|247|1559|1557|1544|4297|2648|5999|9099|861|7398|55775|5300|10919|328|5429|865|54737|10951|641|3028|2237|5965|29994,
chembl3544930,1432,
benzamide derivative 14,9536,
indacaterol,54658|153|1128|154,
mgcd265,3791|7010|2321|4233|4486|2324|1956|558,27694386|28765324|15494073
pmid27744724-compound-22,4170,
chembl108,6331|6335|6336|6332|11280|6329|6323|6334|6326|6328,
flotetuzumab,3563,
ruxolitinib cream,3717|3716,
zucapsaicin,1576|7442|1557|1559|216|1544,
flunarizine dihydrochloride,8912|51053|9986|3091|472,
heroin,627|1813|6648|2913|4988|217|9177|1454|51083|1066|4986|1312|56899,24279859|28692418|26401760|29459008|12657887|19891732|11424981|31853823|11933204|11338173|23651028|21723677|31837295|17373729|31462767
tcmdc-124176,4780|9682|6311|4088|3417|29994|2740|387129|10919|10951,
sennoside a,328,
indoline derivative 7,9451,
trimethoprim,10951|1544|1558|1565|4353|1719|1576|2539|1559|1557|2944,12019187|15606443|22931300|7425598|9187528|11191886
chembl698,6336|6332|6323|6331|6334|6326|6328|11280|6329|6335,
pmid28766366-compound-scheme15-1,1859,
trioxide,5371,
chembl1200722,1145|1140|1146|1134|1144,
buflomedil,1565|10919,
chembl1751,486|478|482|481|483|476|480|477,
isoflavone derivative 2,2735|6608,
ampicillin,1356|2744|51426|3146|5965|11201|5429|8856|7010|328|3105,1427966|9931456|22406116|9609616
chembl18,768|762|763|759|761|377677|11238|23632|771|760|766|765,
tcmdc-124634,3757,
botulinum toxin type a,6616|796|7442,
solifenacin,1131|1128|1133|1132|1129,
chembl2107762,3785|3736|3743|3742|3754|3744|170850|3738|6331|2078|3750|6335|3739|131096|6336|3784|3746|6329|3749|23416|3790|3755|26251|56479|3747|3756|6328|3788|9312|11280|3751|3787|6334|81033|6326|27012|3741|3786|27133|6323|90134|9132|3737|23415|169522|3748|3745|6332|3752,
raf265,673|3791,20538618|22351689
interferon beta-1a,6095|3456|3123|3454|90874|26130|3117|4155|2272|3106|3664|332|965,31649263|27020477|27001119|21502966|10932275|30013178|12117359
eculizumab,727|1378|3075,24521109|24038027|26724167
mln-3126,10803,
phorbol myristate acetate,5581|10125|25780|7409|7412|3689|301|5337|5578|5580|5329,22579485|15588099|24794745|8289830|7678355|9443649|9129206|8503863|9989263|9531044
gnf-pf-2301,6197|2261|3815|6198|5580|5582|4864|983|2011|640|1111|1263|1457|6790|3551|5292|2066|4140|4067|2260|11200|1017|1969|5170|472,
heteroaryl-azepine derivative 10,3358,
promethazine,1544|1128|1812|10951|1132|3269|1129|1131|1133|10919|5617|3064|6311|1565|1543,4024659|7228996|17986163
desipramine,7066|3269|410|1544|153|1565|6530|1129|1576|1128|6532|154|5243|4157|627,9918137|8422746|20531370|10895986|1346258|15252821|14652703|14716707|6488689|18359183|14520122|8867869|9049581|8181196|8941025|17721180|3533565|3356084|17667959|15115913|12360109|14646691|15205367|27440861|11682257|16024198|3769385|16361630|17008819|23486447|10460069|9585799|16871470|11417443|17428804|21052032
topiramate,2897|361|2554|1557|760|3643|6323|6326|762|771|8856,18572411|19331489|26524290|18784617|25155934|21278619
cid 4101591,6606|26054|10919|4790|57337|9367|5594|5970|4137|4791|6607|123228|836|79915|7157,
antiestrogen,8412|10855|1027|3084|4914|1543|7054|5602|5294|4088,9582273|14695198|10908655|12556556|11306479|17311112|11223814|16682955|14750165|15056732
clopidogrel,1066|4846|51716|1558|29104|8529|5243|375033|64805|1555|3690|1557|1577|5742|3673|1544|1576|1565|1559|8704,23275066|27450232|25704243|24535487|22890915|24971633|25712182|24418943|26362473|24262617|24762860|28135763|17112805|21831410|28914344|25060201|28378058|20801498|27380588|25542807|19106083|25850030|23726091|23364775|22045970|23056288|22940005|21806387|28358842|28589365|25430046|20650435|21918510|23150151|29397568|20801494|22723959|22190063|22028352|22285300|22990067|22624833|26962983|28820077|23392654|15166949|16458133|19530321|23834376|21828263|20938371|17157856|16493486|15205592|16214444
apixaban,2159|1577|9429,28678049|29457840
n-methyl-d-aspartic acid (nmda),9682|10919|7253|3028,
ferruginene b,7442,21443171
abarelix,2798|354,11342922
ccg-63802,2237|5429|51426,
vinblastine,7280|5243|1081|10383|51053|84790|7846|4313|84617|113457|4763|5244|203068|7278|1576|347733|10382|7277|1437|1026|354|10376|5744|6915|81027|2944|112714|8856|347688|10381|7200,21348461|20363635|6181870|23708010|23916255|10590059|7918493|9187528|10640980|8763853|1371564|9784008|8632653|23323945|6774314
imatinib mesylate,3417|9429|25|5893|3815,15805252|16205964|12910520|26758680|15705718|22371878|19652056|16772610|15650049|15201427|27073655|21969494|27687311
ganitumab,3480|3481,23741071|24727326
furamidine,11201|3276|51426|2237|3028,24564570
anti-fgfr3,2261,
phorbol 12-myristate 13-acetate,57582|3762|343450|59341,
ifosfamide,1786|7157|3569|4255|2950|1548|1555|3308|8856,23165797|9260581|8621235|16282887|12386121|19702528|19442086|11038165|14704462|8886611|17638512|11470993|12530536
metronidazole,3569|216|706|1576,12111578|1320691|17374625
fulvestrant,2099|5728|1021|5290|2100|898|2053|5241|1544|2064|2101|7035|2263,26733612|19133777|26407012|25879485|17337183|17275315|19845386|20621492|27252418|31091374|30807234|23684894|27174596|24185512|24185510|12130719|23448346|17029634|24448819
tetra-hydro-pyrazolopyrazine derivative 1,2915,
chembl2146883,5604|5605,
chembl1200760,5742|5468|240|5743,
dndi1417739,3417|29994,
chembl207433,7442,
oral contraceptive,5617|3484|1356|1728|5327|3952|5054|7252|596|2936|595,6806129|574234|8530593|12616983|15298951|8392873|12388132|9284746|1149776|15763593|12340474|12376514
kepone,3320|5468|2740|2908|3757|6311|6097|4780|2099|7421|367|1576,
topotecan,7150|116447|238|8528|207|627|546|7298|94025|5728|5925|7157|9429|5243|5290,26438783|24444404|21440338|15569250|26936505|10803925|17227902|19501511|24502276|25833835|26826116|27052877|21216929
chenodiol,8647|8856|151306|9971|5319|23435|367,19102680|17963371|25162837|25247751|22018919|22014750|24387325|22126372|21459580|21309576
chembl405821,3783,
mutant idh1 inhibitor ds-1001,3417,
tetrahydrocurcumin,1786,19112019
chembl3545096,5296|23533|5291|5290|8503|2475|5295|5294|5293,
chembl3545174,367,
i3c,5290|5291|5294,11948137
chembl1578,1131|1128,
morin,4137|54737|2548|390245|5965|51426|5429|11201|1559|2139|3028|4170|10919|10951|5423|29994|2237|7398|328,
chembl259084,6790,
fgf/vegf receptor tyrosine kinase inhibitor - pd173074,2260|2264,27535980|24124571
sj000032151,3320|51053|7849|9682,
pimozide,1576|1557|3091|3757|5467|54737|1565|387129|3417|1813|7494|10951|2475|9682|7157|367|6311|5594|6256|79915|7066,9951426|23059146
galantamine hydrobromide,3417,
gw631581b,7525,
ferulic acid,765|771|762|760|23632|759|351|4129|768,24076170
physostigmine,43|10919|216,
metelimumab,7046,
chembl405,6531|9,
tcmdc-125625,6311|216|3757,
methylene blue chloride hydrate,1576|5965|55775|7124|7068|367|9971|7157|216,
nsc-21588,1559|7253,
isoflavone derivative 3,2735|6608,
hoechst 33258,3028|1869,11151061
chembl1200395,2906|6336|6323|9|116443|6332|6334|2905|11280|2903|6331|2902|6329|116444|6326|3269|6335|6328|2904,
chembl1200689,2977|2983|2982|2974,
ipi-549,5294,
chembl3137336,207|10000|208,
ibrutinib companion diagnostic,695,
tgba01ad,3352|3350,
r-n-propylnorapomorphine,6311|10919|10951|7421|1812|4137,
sj000032149,23435|11069|9682|29994,
carbamide derivative 21,7422,
ru 486,5837|6354|4023|2950|5328|174,2511255|15214937|7627771|1302037|11742418|1701323
apto-253,9314,
sr46349b,3356|3358,
ferruginene c,1269,21443171
protective agent,3576,9479645
dalfampridine,3736|796|1565,
l-162313,387129|6311|1559|3757|7398|1544|1576|79915,
chembl2103738,3612|2931|2932,
ipatasertib,207|3845|5728|2064|5290,27872130|26725216|30037818|23287563|24141624|22934575
aminoglycosides,3074|7170|1027|7038|5741|2668,3440638|15164360|10900094|4064470|10958159|12727111
clenbuterol hydrochloride,1576|154|60482,
chembl1277001,2890|2893|2892|2891,
trail,4363|3308|8797|1235|56616|332|331|5291|8794|4609|5290|4982|596,10811986|12460647|12642685|12176034|10950947|12941843|15137068|12670926|15569667|14596484|14739605|16153452|16984382|9973225|14872496|15367674|11912131|12915677|12730676|14977850
warfarin,112755|54658|5627|5624|1544|7421|339105|338|444|57834|80821|9970|1788|79001|2356|154807|7157|4524|632|5243|213|6810|3172|4734|7056|1551|1576|1728|2626|348|7450|2621|1559|1557|1543|1577,27740732|26223945|29737521|8723744|17392729|8689941|29298995|27488176|28620303|25356900|29054760|14723717|9578515|25312789|29875668|22248286|29432897|17560104|24602049|3977899|11353757|27581200|26257249|21923605|25026456|20072124|21174619|21326313|26445138|14765195|18752379|21635147|24029542|25042728|23602689|16815312|28262345|20833980|17110455|22534826|17124101|17042764|21383771|22528326|29781049|24474498|15358623|25594941|16611310|27262824|28382498|21318593|17015052|16141794|18466099|25519826|19875892|16580898|17989110|16432637|31653973|19135231|16888441|21900891|19387626|17189218|22349464|9684798|17456829|16983400|19745563|17391071|31395958|20203262|21185752|18574025|22854539|29577257|20615525|26219158|17031720|26433837|24728385|22990331|28429387|22616655|23061746|16270629|25769357|18240904|23183958|17510308|21981797|20339978|19874474|18030307|15888487|19582440|15938684|17049586|20410877|15883587|21148049|17111199|26777610|25244877|28689179|20421126|25001883|16960144|15947090|16821005|17329985|25084205|18950464|11926893|12931134|20833655|29396738|24919870|22075505|19177029|20585834|19794411|22571356|19297219|18698879|16890578|18690342|23774101|22676192|23159229|22010099|27121899|25521356|16847429|22592842|24019055|23208322|14676821|14765194|23104259|23949431|19077919|28049362|16493479|25989350|23423913|24330000|21176721|16611750|28033245|20386359|17112295|15865594|17906972|16815313|15930419|16676068|21273734|22040439|15790782|11127854|22549502|17161452|18234403|21110192|15597574|23279643|23932037|18542936|7626351|16014032|15050794|19752777|21692828|23941071|25652102|27356304|18695978
d-5519,2101,
benanserin hydrochloride,10919,
phenformin,6794|5562|3845,26574479
bms-687453,5465,20218621
oxyphencyclimine hydrochloride,1576,
triflusal,3028,
salermide,23411|22933,
cv-3988,10919,
tcmdc-123747,134864|10919,
chloroprocaine,476|2539|6336|1727,
nimesulide,4353|55775|328|3308|1559|10919|2539|1557|4842|1565|1544|5743,17176264|9645681|22931300|12839301|10741939
epinephrine,4780|1812|8692|328|147|151|146|4982|7170|2237|51426|6517|153|152|2475|3028|150|154|4137|148|7421|5965|3091|2539|5291|5602|390245|51738|831,212383|11239501|18172836|12376414|12407113|15210061|16527847|10863002
chembl3545042,2890|2891|2893|2898|2900|2899|2897|2892,
cp-114271,155,
chembl2107870,2158,
euk-189,847,
anticonvulsant,1906|3553|2944|4907|2052,7509966|16358339|12499585|15044076|10554101
kenpaullone,10919|1576|2324|2931|3064|4088|11200|983|1017|1544|2534|9475|2932|4140|79915|10733|1436|2011|6607|1020|4067|6714|9367|1457|891|51053|3932|5170|2322|190|25|1111|6788|8317|6790|3791|9212|7066|4864|1859|2321|5292|1565|8476|3984|6606|6093,
adenovirus vector,1380|3567|2670|183|2315|10468|3098|6517|5294|7038,11044119|16780678|10718511|16014023|9230191|16943576|8804424|17536066|15831817|15271884
catumaxomab,917|915|916|4072,
lansoprazole,5347|29994|1557|390245|246|3553|495|1576|162466|10919|9367|7421|5243|1544|1565|3576|4137|4864|23430|2936|4780|1577|8856|1543|5999,16815316|21054464|14638340|17190370|18502397|17122965|12464168|17704577|18695978|8647108
e-10030,3791|2321|5156|5159|2324|5155,
salvinorin a,4986|4985,22204910
gaboxadol,2565|2564|2568|2563|2560|2561|2556|2557|2562|2559|2555|2554|2558,
chembl918,11280|6331|6332|6328|6329|6335|6334|6323|6326|6336,
idelalisib,5293|5290|5728|673,26137449|28178345|26466009
cefamandole sodium,29994|328|9682|55775|5423|5347|7486|51426|5778|5300|11201|2744|10919|5429,
gnf-pf-4612,60489|200316|7398|4780,
sulfonamide-thiadiazole derivative 1,768,
pmid26560530-compound-8,7052,
pmid28092474-compound-33p,10013|3065,
ixazomib,5705|4869,26634271
diaryl amine derivative 1,1025|1017,
chembl2110725,112714|113457|203068|10381|7280|84790|84617|10376|7846|10383|7277|347733|347688|81027,
chembl1614710,2324|3791|2321|3815,
tcmdc-123992,3028|3757|5347,
prazepam,2560|2556|2563|2567|2568|2565|2569|2561|2570|2554|367|2566|2555|2562|4780|706|200959|2558|2564,
p-t-octylphenol,367|2099|5465,
strobopinin,3309,
isoxazoles and isoxazoline derivative 6,8564,
dimpylate,11069|1576,
cxb-909,4803,
soy protein,4842|1594|348|5741|3949,15328066|12421875|1902348|3359965|12221209
nsc-60340,7334|5423|5651|2237|11201|10919|7341|29127|4137|51426,
ci-1040,5599|5604|673|1111|6446|5578|207|2932|6794|3932|3265|10746|3845|6300|6093|6198|5594|4214|1432|5605|5600|2064|6195,12370306|19915144|20538618|19018267|27821489|26267534|19372556|23948973|20580230
chembl848,8451|1642|9978|51185,
metoclopramide,1813|51700|1128|2539|51706|1727|1544|3558|1565|1585|8378|51167,11418378|11854155|8191163|7883831|15795909
picrotoxin,2554|2569|2742|8001,
chemokines,634|5291|7852|3683|943|6366|643|6367|5979|1116|6358|5294,15937057|15059845|15840024|11747824|16964309|11286540|11163192|10496316|12209625|14707047|15919372|11929789|10790423|15358618|10925282|12580544|12354388|10891429|11397698|14747532|15683617|15967069|16203990|15015934|12381680
octopamine,3359,18033297
adm,2950|332|6717|581,9382956|17121723|2568983|10422567
chembl3707401,2890|2892|2891|2893,
oxazolo[3 -4-a]pyrazine derivative 7,387129,
benzimidazole derivative 4,7299,
e324,247|1544|29994|10919|3028|246|7421|1557|4780|3091|1576|1559|1565,
sj000154295,6311|5725|3417|4286|4780|51053|4088|3064|23081,
pmid25553724-compound-us20138552206 5,4791,
fandosentan potassium,367,
brevarex mab,4582,
csa,185|3558|3385|4363|1649|7421|3567|2074|3600|941|4155|3316|3683|3609|4313|5478|19|3689|1026|9429|3339|5743|1462|6295|2551,17477024|12135706|7529939|15732868|11189941|15494209|10609555|9237106|9278484|11571455|11817607|11683823|11841687|9184637|10076049|14550820|9843854|12639820|12207006|15084924|8212167|11827957|17031644|14974815|10999939|3123380|16612258
rg2833,8841,
chembl1200992,6531|9|6571,
chembl1967878,6795|6790|9212,
pmid27215781-compound-33,1269,
agm-1470,1017,8012959
thioguanosine,10919|5347|9682|7849|3417,
il-4,5294|5777|7098|1032|581|4145,7479761|15613279|16670286|8760794|14657870|10891465|15261462
ap1903,2280,
seribantumab,2064|2065|3084,20227043
erythro,7200,4219111
fenofibrate,7422|1544|4023|10599|1401|348|367|5465|2168|5243|9370|3757|1576|19|7157|335|3105|1072|338|116519|983|1557|1559|1577|959|3569|7035|3725|949,11356390|19207029|16316932|12042669|15608561|15249972|17194889|22931300|16680159|23119086|12606523|17431185|19057464|19056598|18695978|14612213|16607077|15543343
streptonigrin,5423|2237|641|11201|79915|11240|7398|4088|5429|26013|7421|4780|51426|9682|23569|472|4137|6311|3417|7157,24440480|12027749
dndi1417614,10951|3320|4351|79915|51053|10919|7421|3064|11201|4137|6311|3417|7494|9682|29994,
enalapril,1803|328|1490|8654|2936|1636|10599|1576|4306|1066|624|3308|1832|154|7157|4846|4842|5599|183|7422,16678199|18812665|15452190|10712274|16627748|9187528|24059494|25919042|22706620|12522467|12047041|10839195|17178264|16900775|11712645|12799093|9661139|8986921|10880412|8538349|16772709|11928713|26002049
gnf-pf-4992,29994|9682|10951|10919,
cb7969312,216|7421|4170|5305|5347|3320|9682|6868|29994,
thonzonium bromide,7334|9099|5651|3417|317|6311|4780|3320|367,
fenoldopam,1812|152|1816|5965|10919|151|10951|150,
gnf-pf-3561,7421|5347,
ici-164384,2100|2099,20659801
az-40140,155,
pmid28092474-compound-34a,3065|10013,
rivaroxaban,2153|2159|5243,25559742|27893182
pyrithione,6311|9682|3320|2740|2671|4088|51053|2648|3417|10919|7421,
y078-dm1,5979,26240273
chembl3545296,5894|673,
halofuginone,3558|2058|7803|7490|4088|7124,15177499|16508789|16148645|11874485|16769768
heregulin,2670|2885|3084|10468|2821|5294|1432,8604045|16788833|11175341|16847284|15609326|10667603|11791178|10376522
skf-75670 hydrobromide,390245|10919|1814,
pmid25522065-compound-3,2847,
chembl2105728,5159|2322|5156,
pmid27376512-compound-mtc-423,1788|1789|1786,
human chorionic gonadotropin,6863|1645|51738|9429|268|1490|3991|3558|5594|581|1908|3627|11309|328|2056|3976|3559|2069|348,14706561|436730|17535999|17823853|10443662|15941869|8496666|9334854|15242988|11095483|9870082|15590984|17049229|9530505|11585432|9764349|15388676|16543407|1709885
kpl-716,386653,
dihydro-obliquin,3028,
amiloride hydrochloride,3028,
piperazine derivative 6,5027,
pilocarpine,4908|1103|4915|1128|1131|1129|5617|4363|2353|627|1548|1133|4914,7747601|842358|15183516|6144226|15860570|9661997|11394901|16402128|15940289|16952495|19238117|18698229|16891249|10544257|15660270|20860463|11241319|15475735|18212800|20089352|11725533|19921195|15980104|11237731|19845430|10999944|20155256|16272956|17130279|12042667|15900015|21494765|10448083|20596643|12223434|12844137|19604090|15265511|15308589|21521021|16452582|19225447|11779172|12749606|17178767|18380793|14981342|17220563|17112802|10101239|25478907
indirubin sulfate,54737|6311|1576|2475|10002|29994|4137|7066|4780,
atryn antithrombin,2147,24391399
ag-370,7421|4137|216,
boceprevir,282617|1577|7421|5243|101180976|1576|9153,25836019|24096968|22626609
cetirizine,7010|23430|3269|1437|3559,22406116|11794849|16783450|7591422
chembl1201570,3554,
thalidomide,3082|10|4790|5743|1580|538|7124|1557|9469|7450|2214|3570|2215|2263|1544|2067|2149|6555|368|7520|5467|3106|2247|1499|27233|1493|6687|6137|2952|3689|606500,15939924|20038957|31124417|12871448|15457133|12515619|7979550|21435719|14995997|7876469|28373444|26521987|10823791|11838958
talabostat,91039|1440|2191|54878,
thymidine kinase-expressing adenovirus and ganciclovir suicide gene therapy,7083,
levodopa,1813|3600|9456|390245|54737|1814|4129|3028|6580|1812|10951|11201|1815|328|51426|4512|2237|1816|9682|4524|5965|7486|1312|641|6531|10919|1621|581|5429,27779245|14514477|24126708|30794329|7867755|8987798|12083967|25805645|24809448|15672541
secobarbital,2554|2891|1137|2558|2559|2555|1139|2557|2556|2898,
pmid28270021-compound-wo2016054807example71,4914,
pmid28074661-compound-us20100022547c86,3614,
pmid27998201-compound-6,1514|1520,
chembl54,1813|3356|1814|1815,
n-(3 -4-dimethoxyphenyl)picolinamide,2914|9367,
brimonidine,3248|152|10919|216|150|7421|5999|151|390245,16407989
asp-9521,8644,
nomifensine maleate,29843|3757,
nsc-724440,4088|6311|51053|3417|4780,
pma,4880|332|6505|7412|653509|301|65108|5747|3600|6844|3687|1493|4688|3576|921|6046|3683|56616|2905|7409|5803|2214|3385|6916|2215|1432|6566|1915|3484|940|5562|5320|5663|4282|3689|4609|4780,8879350|12118374|15707698|9502808|14574224|7678355|8810290|8503863|8596017|10586059|10679127|17196367|15665425|10777098|8946678|9794433|7510691|1694132|7540861|9528865|2564369|8104888|2547869|7693806|12920112|16417568|8289830|10809755|1827816|7525295|7488650|12919900|14525727|9492285|8557761|2156582|1654606|15383372|9307039|10632899|3305746|7531948|12225365|7739574|10918054|11035812
vanoxerine,7066|79915|6311|3064|1557|1565|2475|10951|7157|1559,
l-741626,1544|1565|1812|3417|2475|3757|1576|7066,
dipyridamole,1565|5347|100|51053|1812|5141|79915|3576|7068|10846|672|1559|472|7251|4363|7398|8654|7253|1576|247|6517|3028|3320|5243|10919|2648|11069|1557|10411|3326,10660968|9664131|1716731
thiabendazole,1544|3308|6606|672|6607|196,11226373
chembl2010872,7010|2321|3791|2324,
akcea-angptl3-lrx,27329,
plx7486,1441|1436|4914,
trovafloxacin mesylate,5467|4780,
cigb-128,3458|3440,
pf-3463275,6536,
desmethoxyyangonin,6607|6606|1576|196,
alectinib,238|5979|1029|27436|2260|4869|4089,27544060|28476735|27009859|25393796|26849637|27432227|26682573|25228534|21575866|26698910|23344087|30030733|22277784|26938871|28501140|26708155|28586279|26598747|23639470|29650534|25153538|25727400|25588040|25749034|26438117|27565911|25421750|25806224|28285684|28455243
benzimidazole derivative 13,9536,
ro-5212054,673,
pmid25666693-compound-107,7442,
chembl1951071,154,
buproprion+zonisamide,9376,
h2o2,2670|185|8797|5243|2214|1977|5829|4908|2730|1017|80781|6121|627|1432|5092|4496|4481|4023|3683|100|3689|7040|1386|7535|2074,9402560|18006461|18299966|14622133|12514119|2138680|12151318|9590268|12969525|7615092|12729926|12832291|11581219|9406937|9706151|14530988|8385930|15316030|8732780|9624736|15966013|8699865|8959153|9722602|9773928|9553143|12606941
ym-57158,10800|6915,
pmid25684022-compound-wo2011137219 37(4-6),5163,
afegostat,2629,21250698
risperidone,54579|1814|5243|54578|2917|7082|7124|4160|345222|207|1543|25970|59340|51738|7957|3356|440275|154|2166|9135|8792|3952|54600|8856|11255|255239|1813|1545|3350|1571|27068|4922|54658|1576|3362|2904|1565|54576|54659|54657|3064|6347|4908|1268|2895|5999|3757|6532|54577|3358|2913|1557|54575|2194|1312,19997080|19506579|29723928|24589909|26129906|29443543|23609392|26905411|15567770|11545247|22566560|23799528|23920449|27217270|18855532|10048600|28694205|23422377|18480685|27092952|24751813|20631561|12755665|21652606|20714340|23859574|18180754|18926547|18086475|18579277|26872113|17767146|23851570|19873684|21510767|26880915|22120873|15184239|9713903|19603545|15694263|28673279|15492764|11505224|17105675|15286066|10823405|16123753|18781856|11920858|12587665|11329406|991813|14610521|1839129|19179847|19944883|1969501|10395223|20375926|18781857|15077009|17989061|9858029|15830237|16513877|18354387|9672901|19396436|15146457|19273465|19853839|20194480|10862524|9918131|19373123|10991962|29955115|17337319|24495780|18473918|20107430|21421319|18204343|20031235|22967772|25152019|19142101|17702092|19193342|17632216|20680028|20504252|19494443|32462699|19451915|25042870|17052361|22935916
fx06,1003,
turbinatine,43,15568781
chembl3545166,1268,
chembl1200715,6336|6326|6329|6331|6323|6332|6334|11280|6335|6328,
nizatidine,3274|6863,12495560
furafylline,4221|4790|4297|1544,
cxr-1002,5292,
azaindole derivative 4,7498,
opa-6566,135,
retinoids,7038|9168|336|5949|5294|5916|5914|3429|8854|8204|7052|347|5319,12182039|2059565|2169566|1846397|1315216|7918317|3195063|15020266|1323296|11223164|9417874|8839862|9334253|10441468|15086558|11751205|15180561|7890733|8943263|3218613
falnidamol,51053|7525,
chembl1950289,5599|5601|5602,
dndi1417013,79915|9367|4864,
cantharidin,5594|5499,
noroxymorphone,1565,
pmid27967267-compound-48,43,
atamestane-plus- toremifene,1588,
irinotecan,7298|7150|56479|54658|672|10057|673|7157|7421|5243|3845|1806|546|7517|10111|7040|472|5300|590|374|7422|1066|1244|1869|864|4524|9429|6573|116328|8490|5602|2064|54600|116447|7048|9636|8856|3831|207|7361|8824|6470|10512|494514|4089|9619|1956|285761|7329|5290|10257|675|22943,21273624|16456808|25127363|26842236|26352872|20628391|28783719|19603018|26687137|26989027|19603024|22180495|27729313|25567130|27845419|20619739|21575616|28395759|26936505|17549067|24934408|27160286|25003995|23360284|24507920|23959273|20125120|25955730|18981587|18221820|9766655|17372756|24018773|27638859|18347181|22664479|25069475|11345644|16799812|25601188|16636344|23386248|12181437|19775480|27116457|27561454|25714871|25778466|22044939|22753594|23209031|25185971|23478653|24042735|16707468|26341920|21325073|24798549|25322874|19859084|25788273
chembl6318,2099|2100,
ddp225,6530|170572|285242|200909|9177|3359,
doconexent,6256|4137|7398|10919|216|7421,20695472
bc21,1499,22224445
human interleukin-2,3558,
apomorphine,1544|1813|367|1812|1815|1816|10919|1565|7157|50632|1814|4137|3028|7421,
arq 736,673,
atazanavir,54659|57537|10599|1244|5243|8856|54577|1576|1557,17058217|31562781|26287941|16355344|26892777|26174719|18831695|20921307|22394315
resorcinol compound 12,7299,
anakinra,3554|7850|114548,14872505
nocodazole,203068|347688|81027|1387|7846|4780|10382|113457|7280|7277|84617|347733|10381|79915|84790|10383|10376|112714|367|7278|51053|190|1544|3315,21194809|25815147|25369367|25262051|23313639|22435708
loperamide,367|4988|2475|7010|5243|4985|1565|7253|1576|7157,22406116
iralukast,10800,
