drugName,entrezGeneIds,pubmedId
(1s)-1-(9-deazaadenin-9-yl)-1 -4 -5-trideoxy-1 -4-imino-5-methylthio-d-ribitol,4507,17016423|17139284
hydroxy-phenyl-acetic acid 8-methyl-8-aza-bicyclo[3.2.1]oct-3-yl ester,1066,10592235
5'-o-(n-ethyl-sulfamoyl)adenosine,3094,17016423|17139284|10592235
n-sulfo-flavin mononucleotide,54363,17016423|17139284|10592235
zinc trihydroxide,2944,17016423|17139284
propidium,43|328|29994,17016423|17139284|10592235
9 -10-deepithio-9 -10-didehydroacanthifolicin,5501,17016423|17139284|10592235
1 -8-di-hydroxy-4-nitro-xanthen-9-one,1457,10592235
malonic acid,6714|8528|10873,17016423|17139284|10592235|26322531|19595601
1-acetyl-4-(4-{4-[(2-ethoxyphenyl)thio]-3-nitrophenyl}pyridin-2-yl)piperazine,3683,17016423|17139284
myristoyl-coa,9397,17016423|17139284|10592235
2'-deoxyguanosine-5'-triphosphate,4830,17016423|17139284|10592235
adenosine-5'-ditungstate,3094,17016423|17139284
2 -4-dihydroxy-7-(methyloxy)-2h-1 -4-benzoxazin-3(4h)-one,197021,10592235
equilin,3292|29127|328|367|23435,17016423|17139284|10592235
2' -3'-dideoxyadenosine-5'-triphosphate,1791,17016423|17139284|10592235
2-(2-hydroxy-phenyl)-1h-benzoimidazole-5-carboxamidine,5644|5328|2147,10592235
3-(4-fluorophenyl)-1-hydroxy-2-(pyridin-4-yl)-1h-pyrrolo[3 -2-b]pyridine,1432,17016423|17139284|10592235
uridine-diphosphate-n-acetylgalactosamine,2582|6675|28|2135,17016423|17139284|10592235
4-[(4-imidazo[1 -2-a]pyridin-3-ylpyrimidin-2-yl)amino]benzenesulfonamide,1017,17016423|17139284|10592235
2-bromoacetyl group,5742,17016423|17139284|10592235
malonate ion,6388,10592235
6-(1 -1-dimethylallyl)-2-(1-hydroxy-1-methylethyl)-2 -3-dihydro-7h-furo[3 -2-g]chromen-7-one,26330,10592235
7-nitroindazole,4843|4846,17016423|17139284|10592235
pyridoxine-5'-phosphate,4953,17016423|17139284|10592235
hexane-1 -6-diol,2908|3265|5319,17016423|17139284|10592235
n-methyl-n-propargyl-1(r)-aminoindan,4129,10592235
furoyl-leucine,10863,10592235
s-methylcysteine,1509|4255,17016423|17139284|10592235
dpb-t,56953,17016423|17139284|10592235
n-[4-hydroxymethyl-cyclohexan-6-yl-1 -2 -3-triol]-4 -6-dideoxy-4-aminoglucopyranoside,280,17016423|17139284|10592235
al7089a,760,17016423|17139284|10592235
4-(aminosulfonyl)-n-[(2 -4 -6-trifluorophenyl)methyl]-benzamide,760,17016423|17139284|10592235
2 -6-diamino-(s)-9-[2-(phosphonomethoxy)propyl]purine,4860,17016423|17139284|10592235
3 -8-diamino-6-phenyl-5-[6-[1-[2-[(1 -2 -3 -4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1 -2 -3-triazol-4-yl]hexyl]-phenanthridinium,43,17016423|17139284|10592235
immucillin-g,4860,11752352|10592235
ethylisothiourea,4843|4846|1565,17016423|17139284|10592235
l-methionine (r)-s-oxide,351,10592235
glycinamide ribonucleotide,2618,17016423|17139284
laevulinic acid,210,17016423|17139284|10592235
4-morpholin-4-yl-piperidine-1-carboxylic acid [1-(3-benzenesulfonyl-1-propyl-allylcarbamoyl)-2-phenylethyl]-amide,8722,17016423|17139284
2-ethoxyethanol,126,17016423|17139284|10592235
cu-bicyclam,4069,17016423|17139284|10592235
gm6001,10863|176|4317|4318|118856|4314|4313|4312|4322|4321|4323,10592235
sr11254,5916,17016423|17139284|10592235
3-(3 -5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid (4-sulfamoyl-phenyl)-amide,5770,17016423|17139284
4-oxosebacic acid,210,10592235
platelet activating factor,2760,17016423|17139284
orotic acid,1723,17016423|17139284|10592235
o2-sulfo-glucuronic acid,9955|3082|2246,17016423|17139284
flufenamic acid,5742|367|8644|5743|4780|3091|3248|1544,7864817|10592235|17016423|17139284|14996743|17911242
argininosuccinate,435,17016423|17139284|10592235
[4-({[5-benzyloxy-1-(3-carbamimidoyl-benzyl)-1h-indole-2-carbonyl]-amino}-methyl)-phenyl]-trimethyl-ammonium,5644,17016423|17139284|10592235
s-(2-oxo)pentadecylcoa,9397,17016423|17139284|10592235
porphobilinogen,210,17016423|17139284|10592235
1-(5-tert-butyl-2-methyl-2h-pyrazol-3-yl)-3-(4-chloro-phenyl)-urea,1432,17016423|17139284|10592235
benzoylformic acid,54363,17016423|17139284|10592235
formycin,4507,17016423|17139284
5'-deoxy-5'-methylthioadenosine,4507,17016423|17139284
protoporphyrin ix,2512|4193|4194,17016423|17139284|10592235|30603043
2-(2-hydroxy-phenyl)-3h-benzoimidazole-5-carboxamidine,5644,10592235
cra_9334,5644,10592235
6-oxo-8 -9 -10 -11-tetrahydro-7h-cyclohepta[c][1]benzopyran-3-o-sulfamate,760,17016423|17139284|10592235
1-hydroxy-3-methylbutane,5972,17016423|17139284|10592235
2-amino-6-chloropyrazine,1017,17016423|17139284
arginineamide,3739,17016423|17139284|10592235
calcipotriol,7421,17016423|11752352|17139284|17274004|21651652|10707958|9933478|21418277|15295697|15861036|15739035|17763859|20716226|20500803|15864137|19647104
(5s)-5-iododihydro-2 -4(1h -3h)-pyrimidinedione,1806,17016423|17139284|10592235
palmitoyl-linoleoyl phosphatidylcholine,58488,17016423|17139284
4-(1 -3 -2-dioxaborolan-2-yloxy)butan-1-aminium,5646,17016423|17139284|10592235
5--monophosphate-9-beta-d-ribofuranosyl xanthine,471|3251,17016423|17139284|10592235
3 -5 -6 -8-tetramethyl-n-methyl phenanthrolinium,10988,17016423|17139284
methyl methylsulfinylmethyl sulfide,2280,17016423|17139284|10592235
cyclic guanosine monophosphate,5573|610|5138,17016423|17139284|10592235
2-deoxy-2-fluoro-alpha-d-mannosyl fluoride,4124,17016423|17139284|10592235
1-n-acetyl-beta-d-glucosamine,5837|5836,17016423|17139284|10592235
heparin disaccharide i-s,6352,17016423|17139284
em-1745,3292,17016423|17139284
1-hydroxyamine-2-isobutylmalonic acid,4317,17016423|17139284|10592235
2-[(3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl)-imino]-5-phosphono-pent-3-enoic acid,1491,10592235
carbenoxolone,3290,11752352
2-aminothiazoline,4846,17016423|17139284|10592235
ru83876,6714,17016423|17139284|10592235
s-(d-carboxybutyl)-l-homocysteine,635,17016423|17139284
nadph dihydro-nicotinamide-adenine-dinucleotidephosphate,7296|1806|10157,17016423|17139284|10592235
n-acetyl-serine,2162,17016423|17139284
mdl 101 -146,1991|1990,17016423|17139284|10592235
2-methoxyestradiol,3091|1545|1312|1543|1588,17498737|17716391|12810639|1170911|10405348
3 -6 -9 -12 -15-pentaoxaheptadecane,43,10592235
selenocysteine,4830|820,17016423|17139284|10592235
2-amino-3-(5-tert-butyl-3-(phosphonomethoxy)-4-isoxazolyl)propionic acid,2891,17016423|17139284|10592235
fluoro-phosphite ion,5837,17016423|17139284|10592235
n-hydroxy-4-[(4-methoxylphenyl)sulfonyl]-2 -2-dimethyl-hexahydro-1 -4-thiazepine-3(s)-carboxamide,4314,17016423|17139284|10592235
hirulog,2147,11752352
3-(benzyloxy)pyridin-2-amine,1432|4048,17016423|17139284|10592235
heparin disaccharide iii-s,6352,17016423|17139284
4-{[1-methyl-5-(2-methyl-benzoimidazol-1-ylmethyl)-1h-benzoimidazol-2-ylmethyl]-amino}-benzamidine,5644,17016423|17139284|10592235
ly374571,4522,17016423|17139284
9-butyl-8-(2 -5-dimethoxy-benzyl)-9h-purin-6-ylamine,3320,10592235
bis-napthyl beta-ketophosphonic acid,1511,17016423|17139284|10592235
2'-monophosphoadenosine-5'-diphosphate,6035,17016423|17139284|10592235
cra_10762,5644,17016423|17139284|10592235
(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,4314,17016423|17139284
2-(2-hydroxy-1 -1-dihydroxymethyl-ethylamino)-ethanesulfonic acid,716,17016423|17139284
adenosine monotungstate,2272,17016423|17139284
myricetin,5294|3028|1557|839|1544|11069|5347|2237|840|5965|246|5429|10951|4137|7486|5423|60489|2744|11201|29994|216|54737|200315|7150|7153|26013|9682|328|2859|1559|3248|249|251|5290|51426|7066|390245|641|10411|27006|10919,17016423|17139284|10592235|8759170|7769390|22212721
d-gluconhydroximo-1 -5-lactam,3938,10592235
guanine,2643|4860,11752352|17016423|17139284
mmi-175,23621,17016423|17139284
beta-d-glucose,3957|276|5836|10007|440021|2645|6441|3098|387266|53343|5837|8467|4151|3963|360203|3456|6614|280|1463|5742|197021,10592235|17016423|17139284
nor-n-omega-hydroxy-l-arginine,383,17016423|17139284|10592235
tolrestat,231|10327|57016,11752352|10592235|21561086
leucine phosphonic acid,51056,17016423|17139284|10592235
cyclohexyl-{4-[5-(3 -4-dichlorophenyl)-2-piperidin-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine,5602,17016423|17139284
2-amino-7-[2-(2-hydroxy-1-hydroxymethyl-ethylamino)-ethyl]-1 -7-dihydro-purin-6-one,4860,17016423|17139284|10592235
d-gluco-2 -5-anhydro-1-deoxy-1-phosphonohexitol-6-phosphate,5207,17016423|17139284|10592235
3-hydroxymethyl-5-aziridinyl-1methyl-2-[1h-indole-4 -7-dione]-propanol,1728,17016423|17139284
methylethylamine,4151,17016423|17139284|10592235
6-[n-(4-(aminomethyl)phenyl)carbamyl]-2-naphthalenecarboxamidine,5328,17016423|17139284|10592235
5-methoxy-1 -2-dimethyl-3-(4-nitrophenoxymethyl)indole-4 -7-dione,1728,17016423|17139284|10592235
4-hydroxy-1 -2 -5-oxadiazole-3-carboxylic acid,3945,17016423|17139284
5-(4-methoxyphenoxy)-2 -4-quinazolinediamine,200895,10592235
1-deoxy-1-thio-heptaethylene glycol,43,10592235
12-bromododecanoic acid,5047,10592235
6-o-cyclohexylmethyl guanine,1017|890,17016423|17139284|10592235
(r -r)-2 -3-butanediol,7322,17016423|17139284|10592235
ethyl oxo(piperidin-1-yl)acetate,5478,10592235
[[4-(aminomethyl)phenyl]amino]oxo-acetic acid -,5770,17016423|17139284
methyl-2-s-(alpha-d-mannopyranosyl)-2-thio-alpha-d-mannopyranoside,11253,17016423|17139284
geldanamycin,3326|3320|3091|940|79915|11140|2214|1056|7431|4654|5328|1956|2322|2215,17016423|17139284|10592235|12811834|25756299|25277067|21129982|18408713|18020309|21273068|21861487|23947794|23859777|9747895|21486005|7662976|11104697|16328963|15922741|12724357|18652519|24428777|24984936|25105924|15150124|15514006
carboxyatractyloside,291,17016423|17139284|10592235
2 -4-diamino-6-[n-(2' -5'-dimethoxybenzyl)-n-methylamino]quinazoline,1719,10592235
4-(aminosulfonyl)-n-[(4-fluorophenyl)methyl]-benzamide,760,17016423|17139284|10592235
cytidine-5'-triphosphate,7371,17016423|17139284
ru90395,6714,17016423|17139284|10592235
aminomethylcyclohexane,5644,17016423|17139284|10592235
2-{4-[(2s)-2-[({[(1s)-1-carboxy-2-phenylethyl]amino}carbonyl)amino]-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid,5770,17016423|17139284
2-deoxy-2-amino glucitol-6-phosphate,10007,17016423|17139284
3 -8 -9 -10-tetrahydroxy-7-hydroxymethyl-6-oxa-1 -3-diaza-spiro[4.5]decane-2 -4-dione,5837,17016423|17139284|10592235
n-tridecanoic acid,5319|30814|5320,10592235
3-(1h-indol-3-yl)-2-[4-(4-phenyl-piperidin-1-yl)-benzenesulfonylamino]-propionic acid,4314,17016423|17139284
thymidine-5'-triphosphate,7084|7083,17016423|17139284|10592235
undecyl-phosphinic acid butyl ester,8513,10592235
glutathione s-(2 -4 dinitrobenzene),2946|2944,17016423|17139284
4-guanidinobenzoic acid,629,17016423|17139284
thiocoumarin,4843,10592235
2-(2-hydroxy-phenyl)-1h-indole-5-carboxamidine,5644,10592235
benzylamine,5644|5645,17016423|17139284|10592235
methoxy arachidonyl fluorophosphonate,2166,17016423|17139284|10592235
4-[3-oxo-3-(5 -5 -8 -8-tetramethyl-5 -6 -7 -8-tetrahydro-naphthalen-2-yl)-propenyl]-benzoic acid,5916,17016423|17139284|10592235
l-methionine (s)-s-oxide,5868,10592235
12-phenylheme,3162,17016423|17139284
nojirimycine tetrazole,3938|5837|197021,10592235|17016423|17139284
6-hydroxy-7 -8-dihydro purine nucleoside,100,17016423|17139284|10592235
6-[n-(1-isopropyl-3 -4-dihydro-7-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine,5328,17016423|17139284|10592235
(r)-n-(3-indol-1-yl-2-methyl-propyl)-4-sulfamoyl-benzamide,760,17016423|17139284|10592235
n-benzylformamide,125,17016423|17139284
phosphonothreonine,5594|6010|1022|5567|5566|6790|5588,17016423|17139284|10592235
etheno-nad,683|3939,17016423|17139284|10592235
cytidine-5'-monophosphate-5-n-acetylneuraminic acid,55907,17016423|17139284|10592235
(diaminomethyl-methyl-amino)-acetic acid,1158,17016423|17139284|10592235
4-[4-(1-amino-1-methylethyl)phenyl]-5-chloro-n-[4-(2-morpholin-4-ylethyl)phenyl]pyrimidin-2-amine,2263,17016423|17139284
ghavamiol,4124,17016423|17139284|10592235
alpha-hydroxy-beta-phenyl-propionic acid,6143|6138|9349|23521|140801|6135|1357|51187|6147|51121|6132|6167|6122|4809,10592235
l-alpha-glycerophosphorylserine,308,17016423|17139284|10592235
carba-nicotinamide-adenine-dinucleotide,142,17016423|17139284|10592235
dinor-n(omega)-hydroxy-l-arginine,383,17016423|17139284|10592235
[3-(1-benzyl-3-carbamoylmethyl-2-methyl-1h-indol-5-yloxy)-propyl-]-phosphonic acid,5320,17016423|17139284|10592235
2 -6 -8-trimethyl-3-amino-9-benzyl-9-methoxynonanoic acid,5520|5518|5499|5527|5515,10592235
4-hydroxy-3-[(1s)-3-oxo-1-phenylbutyl]-2h-chromen-2-one,1559,10592235
isopentyl pyrophosphate,2224,10592235
farnesol,4129,10592235
'5'-o-(n-(l-prolyl)-sulfamoyl)adenosine,2058,17016423|17139284|10592235
1 -6-fructose diphosphate (linear form),226|229,17016423|17139284|10592235
3-phosphoglycerol,5207|229,17016423|17139284|10592235
n-acetylalanine,231,17016423|17139284|10592235
indirubin-5-sulphonate,5837,17016423|17139284|10592235
cra_10655,5644|5328,10592235
cyclic adenosine monophosphate,5577|610|5573|1812|10919,17016423|17139284|10592235
tetrazolyl histidine,4151,17016423|17139284|10592235
gamma(amino)-butyric acid,2628,17016423|17139284
2 -4 -6-triaminoquinazoline,728635,10592235
aminoguanidine,4843|729230,17016423|11752352|17139284|10592235
aminodi(ethyloxy)ethylaminocarbonylbenzenesulfonamide,760,17016423|17139284
n-[4-(2-methylimidazo[1 -2-a]pyridin-3-yl)-2-pyrimidinyl]acetamide,1017,17016423|17139284|10592235
s-ethylisothiourea,4843,17016423|17139284
4-hydroxybutan-1-aminium,5646,17016423|17139284|10592235
(4s)-5-fluoro-l-leucine,7314,17016423|17139284|10592235
fexaramine,9971,17016423|17139284
vorinostat,10013|8841|3066|3065|113457|51564|55869|10381|5925|203068|79885|10376|83933|9734|9759|81027|2767|84790|55294|112714|2146|7157|10014|6598|1636|4780|4615|51053|673|8314|347688|7277|1108|347733|190|5728|7846|4869|10382|10383|7849|84617|7280|1080|7278,17694093|11752352|25261927|25233084|27977115|26814680|26706171|26689485|26681404|26653328|26629860|26443078|26376355|26331334|26264503|26211462|25993269|25974739|25906087|25815139|25734520|25563890|25462271|25454270|25218912|24972008|24766560|24742384|24694055|24588105|24565573|18430569|18370373|18308563|18247554|18060775|14698179|20491440|19344175|19966789|23622981|22260166|21548582|19084294|17447750|24074025|23672185|18483379|23498719|18381238|23274910|25605023|25669829|23764045|26009011|27733371|27924459|22038994|26296641|22693356|9661880|26634271|21696956|24304348|21080647
guanosine-5'-diphosphate-rhamnose,2762,17016423|17139284|10592235
d-glucitol 6-phosphate,2821,17016423|17139284|10592235
8-(2-chloro-3 -4 -5-trimethoxy-benzyl)-2-fluoro-9-pent-4-ylnyl-9h-purin-6-ylamine,3320,10592235
6-[n-(4-ethyl-1 -2 -3 -4-tetrahydro-6-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine,5328,17016423|17139284|10592235
geranyl diphosphate,2224|9453,10592235
glutathionylspermidine disulfide,2936,17016423|17139284
sp4160,3558,17016423|17139284|10592235
d-phenylalanine,883|1392,17016423|17139284|10592235
phosphoramidon,4311,11752352
n-(3-phenyl-2-sulfanylpropanoyl)phenylalanylalanine,4311,17016423|17139284|10592235
6-(octahydro-1h-indol-1-ylmethyl)decahydroquinazoline-2 -4-diamine,1719,17016423|17139284|10592235
quinonoid 7 -8-tetrahydrobiopterin,5053,17016423|17139284
hexanoyl-coenzyme a,1892,17016423|17139284|10592235
4-dimethylamino-n-(6-hydroxycarbamoyethyl)benzamide-n-hydroxy-7-(4-dimethyla minobenzoyl)aminoheptanamide,55869,17016423|17139284|10592235
peldesine,4860,17016423|17139284
2' -3'-dehydro-2' -3'-deoxy-thymidine 5'-diphosphate,4830,17016423|17139284|10592235
pd150606,826,10592235
2'-deoxycytidine-2'-deoxyadenosine-3' -5'-monophosphate,6035,17016423|17139284|10592235
1-(2-methoxy-ethoxy)-2-{2-[2-(2-methoxy-ethoxy]-ethoxy}-ethane,5217,10592235
5-[2 -3-dichloro-4-(5-{1-[2-(2-guanidino-4-methyl-pentanoylamino)-acetyl]-piperidin-4-yl}-1-methyl-1h-pyrazol-3-yl)-phenoxymethyl]-furan-2-carboxylic acid,3558,17016423|17139284|10592235
n6-(2 -5-dimethoxy-benzyl)-n6-methyl-pyrido[2 -3-d]pyrimidine-2 -4 -6-triamine,1719,17016423|17139284|10592235
4-(hydroxymethyl)benzamidine,5646,17016423|17139284|10592235
colforsin,111|108|2778|59350|367|122042|190|2740|51564|196,10592235|19966789
se-ethyl-isoselenourea,4846,17016423|17139284|10592235
2'-deoxycytidine,7084,17016423|17139284|10592235
alpha -beta-methyleneadenosine-5'-triphosphate,349565,17016423|17139284
[2(r -s)-2-sulfanylheptanoyl]-phe-ala,4311,17016423|17139284|10592235
n-alpha-acetyl-3 -5-diiodotyrosylglycine,5066,17016423|17139284|10592235
al7182,760,17016423|17139284|10592235
1-amino-6-cyclohex-3-enylmethyloxypurine,1017,17016423|17139284|10592235
2-deoxy-glucose-6-phosphate,5837,17016423|17139284|10592235
adenosine phosphonoacetic acid,4830,17016423|17139284|10592235
n-(2 -3 -4 -5 -6-pentaflouro-benzyl)-4-sulfamoyl-benzamide,760,17016423|17139284|10592235
balanol analog 1,5566,10592235
decylamine-n -n-dimethyl-n-oxide,1723|5408,17016423|17139284|10592235
compound 19,2099|5770,17016423|17139284
fr117016,100,10592235
sp7343-sp7964,5770,17016423|17139284
latrunculin a,58|2934,10592235|3556584
2-(oxalyl-amino)-benzoic acid,5770,17016423|17139284|10592235
aminophosphonic acid-guanylate ester,998,17016423|17139284|10592235
homoserine lactone,6548,17016423|17139284
1-[3 -3-dimethyl-2-(2-methylamino-propionylamino)-butyryl]-pyrrolidine-2-carboxylic acid(1 -2 -3 -4-tetrahydro-naphthalen-1-yl)-amide,331,17016423|17139284|10592235
cibacron blue,1728|2950,17016423|17139284|10592235
n-[o-phosphono-pyridoxyl]-isoleucine,587,17016423|17139284
9-hydroxy-8-methoxy-6-nitro-phenanthrol[3 -4-d][1 -3]dioxole-5-carboxylic acid,30814,10592235
oxaloacetate ion,6697|1431,17016423|17139284|10592235
terlipressin,554|553|552,17287200|17020465|16333859|16563128|17027167|16114100|15993108|16720725|17284170|16011575|16532916|11752352|17303660|16511036|17275806
fumagillin,10988|4780,11752352
n-dodecyl-n -n-dimethyl-3-ammonio-1-propanesulfonate,4129|3479,10592235
n-omega-propyl-l-arginine,4842|4843,17016423|17139284|10592235
nitrosoethane,4151,17016423|17139284|10592235
n-(5-cyclopropyl-1h-pyrazol-3-yl)benzamide,1017,17016423|17139284|10592235
(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,54677|1384,17016423|17139284|10592235
{[2-(1h-1 -2 -3-benzotriazol-1-yl)-2-(3 -4-difluorophenyl)propane-1 -3-diyl]bis[4 -1-phenylene(difluoromethylene)]}bis(phosphonic acid),5770,17016423|17139284
l-[(n-hydroxyamino)carbonyl]phenylalanine,1357,10592235
2-(4-morpholinyl)-8-phenyl-4h-1-benzopyran-4-one,5294|5292,10592235|17016423|17139284
cholic acid,2104|1339|2235|1066|126|1346|4513|2172|5319|1349|1327|4514|9377|1340|4512|1351|1350|1329|1345|1717|23600|8647|1581|80270|1593|6718,10592235|17016423|17139284|19102680|22464344
filaminast,5142,17016423|17139284|10592235
adenosine-5'-diphosphate-2' -3'-vanadate,9061,17016423|17139284|10592235
novo nordisk a/s compound,5770,17016423|17139284|10592235
trans-2-phenylcyclopropylamine,5644,17016423|17139284|10592235
4-deoxy-alpha-d-glucose,8467,17016423|17139284|10592235
1-methylimidazole,4151,17016423|17139284|10592235
(4ar -6s -8ar)-11-[8-(1 -3-dioxo-1 -3-dihydro-2h-isoindol-2-yl)octyl]-6-hydroxy-3-methoxy-5 -6 -9 -10-tetrahydro-4ah-[1]benzofuro[3a -3 -2-ef][2]benzazepin-11-ium,43,17016423|17139284|10592235
2-[3-(2-hydroxy-1 -1-dihydroxymethyl-ethylamino)-propylamino]-2-hydroxymethyl-propane-1 -3-diol,5144,17016423|17139284|10592235
2-deoxy-2-aminogalactose,3963,17016423|17139284
cyanamide,760,17016423|17139284
meta vanadate,1163,17016423|17139284|10592235
5'-o-(n-(l-cysteinyl)-sulfamoyl)adenosine,2058,17016423|17139284|10592235
3-methylphenylalanine,1508,17016423|17139284
s-{2-[amino(dihydroxy)-lambda~4~-sulfanyl]ethyl}-d-cysteine,383,17016423|17139284|10592235
nu1025,142|675,10592235|15829966
n-cholylglycine,2172,17016423|17139284|10592235
(6r -1'r -2's)-5 -6 -7 -8 tetrahydrobiopterin,4842|4846|4843|5053,17016423|17139284|10592235
6-aminohexyl-uridine-c1 -5'-diphosphate,2683,17016423|17139284|10592235
hydroxyaminovaline,4314|4322,17016423|17139284
nicotinamide,142|683|3939|23408,11752352|17016423|17139284|10592235
6-[n-(1-isopropyl-1 -2 -3 -4-tetrahydro-7-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine,5328,17016423|17139284|10592235
resveratrol,4835|5742|1457|5743|51426|23411|2309|3553|367|8737|3028|3082|6607|632|6515|5587|6606|56616|4791|7157|4790|9518|1056|351|2950|2671|4780|79915|5970|4864|5290|5175|4313|1017|10919|5144|207|6517|5142|3064|1576|2099|3316|332|672|196|4137|1432|3091|5578,15381063|15350128|11752352|23316803|23859249|18046409|17513867|16389574|16116226|15672869|16267019|11277764|11008129|15837718|15469386|11895857|16099206|23799643|11279601|15925284|15041740|16084059|15122319|18065527|17125593|16759640|17270149|14729643|16525036|21880495
2 -3 --dihydroxybenzoylserine,3934,17016423|17139284|10592235
sorbinil,231|4790|5970|4791,11752352|10592235|24819954
3'-uridinemonophosphate,6035,17016423|17139284|10592235
compound 18,2099,17016423|17139284
7-methyl-guanosine-5'-triphosphate,1977,17016423|17139284|10592235
c-(1-hydrogyl-beta-d-glucopyranosyl) formamide,5837,17016423|17139284|10592235
alpha-d-glucopyranosyl-2-carboxylic acid amide,5837,17016423|17139284|10592235
4-iodopyrazole,124|125|126,17016423|17139284|10592235
4-oxo-2-phenylmethanesulfonyl-octahydro-pyrrolo[1 -2-a]pyrazine-6-carboxylic acid [1-(n-hydroxycarbamimidoyl)-piperidin-4-ylmethyl]-amide,2147,17016423|17139284
2-phosphoglycolic acid,2027|5313|2026|7167|5315,17016423|17139284|10592235
n-butyl-n'-hydroxyguanidine,4842,17016423|17139284|10592235
7-hydroxy-2-oxo-chromene-3-carboxylic acid ethyl ester,4282,17016423|17139284|10592235
4-methylthio-alpha-d-mannose,280,17016423|17139284|10592235
ethylmercurithiosalicylic acid,5019,10592235
purvalanol,1019|6733|5594|1017|5595,11752352|10592235|17016423|17139284
2-amino-3-oxo-4-sulfo-butyric acid,412,17016423|17139284
3-indolebutyric acid,567|3105|28639|6955,10592235
cd564,5916,17016423|17139284|10592235
kifunensine,11253|4124,17016423|17139284|10592235
rpr131247,5644,17016423|17139284|10592235
uridine,11157|64078|9153|9154|2030|6898|6517|5054|1890,17016423|17139284|10592235|23388705|11641443|10455109|10763851|6161802|9030547|10712415
s-(methylmercury)-l-cysteine,79631,10592235
n-[amino(imino)methyl]glycine,2593,17016423|17139284|10592235
9-butyl-8-(3 -4 -5-trimethoxybenzyl)-9h-purin-6-amine,3326|3320,17016423|17139284|10592235
1-3 sugar ring of pentamannosyl 6-phosphate,4074,17016423|17139284|10592235
pyrazole,126|4780|2641|706|2247,17016423|17139284|10592235|16374848|6992153|15544788|9730230
indolylpropionic acid,30814,10592235
4-methylumbelliferyl chitobiose,4069,17016423|17139284|10592235
s-mercaptocysteine,7263,10592235
ru79072,6714,10592235
5-mercapto-2-nitro-benzoic acid,3593,17016423|17139284
3-hydroxy-myristic acid,7099|23643,10592235
sucrose,51493|4069|58,10592235|17016423|17139284
(3-chloro-4-propoxy-phenyl)-acetic acid,5742,10592235
1 -3-propandiol,375,17016423|17139284|10592235
2 -5-anhydroglucitol-1 -6-biphosphate,2203,17016423|17139284|10592235
dodecane-trimethylamine,5781,17016423|17139284|10592235
4'-deoxy-4'-acetylyamino-pyridoxal-5'-phosphate,2806,17016423|17139284|10592235
n-[4-(2-{2-[3-(2-bromo-acetylamino)-propionylamino]-3-hydroxy-propionylamino}-ethyl)-phenyl]-oxalamic acid,5770,17016423|17139284
pregnenolone,6820|2101|4780,17016423|17139284|10592235
p-anisic acid,5319|30814,17016423|17139284|10592235
9-deazainosine,4860,17016423|17139284|10592235
5-hydroxymethylene-6-hydrofolic acid,6470,17016423|17139284|10592235
3-phenyl-1 -2-propandiol,5972,17016423|17139284|10592235
uracil arabinose-3'-phosphate,6035,17016423|17139284|10592235
(2s -4r)-1-acetyl-n-[(1s)-4-[(aminoiminomethyl)amino]-1-(2-benzothiazolylcarbonyl)butyl]-4-hydroxy-2-pyrrolidinecarboxamide,5644,17016423|17139284|10592235
2-acetamido-2-deoxy-d-glucono-1 -5-lactone,3074,17016423|17139284
iodo-willardiine,2891,17016423|17139284|10592235
1-azepan-1-yl-2-phenyl-2-(4-thioxo-1 -4-dihydro-pyrazolo[3 -4-d]pyrimidin-5-yl)ethanone adduct,3028,17016423|17139284
canaline,4942,17016423|11752352|17139284
para-bromobenzyl alcohol,126,17016423|17139284|10592235
n-pyridoxyl-glycine-5-monophosphate,4953|6470,17016423|17139284|10592235
methylphosphonic acid ester group,43,17016423|17139284|10592235
7-(1 -1-dioxo-1h-benzo[d]isothiazol-3-yloxymethyl)-2-(oxalyl-amino)-4 -7-dihydro-5h-thieno[2 -3-c]pyran-3-carboxylic acid,5770,17016423|17139284|10592235
fr236913,100,10592235
dihydrogenphosphate ion,51181,17016423|17139284
[4-(2-amino-4-methyl-thiazol-5-yl)-pyrimidin-2-yl]-(3-nitro-phenyl)-amine,1017|890,17016423|17139284|10592235
idd552,231,17016423|17139284|10592235
alpha-d-glucose 1 -6-bisphosphate,5236,17016423|17139284|10592235
o4-sulfonylgalactose,4153,17016423|17139284|10592235
3 -4-dihydro-2h-pyrrolium-5-carboxylate,1610,17016423|17139284|10592235
4-(1 -3-benzodioxol-5-yl)-5-(5-ethyl-2 -4-dihydroxyphenyl)-2h-pyrazole-3-carboxylic acid,3320,17016423|17139284|10592235
alpha-d-glucose-1-phosphate,5837,17016423|17139284|10592235
methylphosphinic acid,43,17016423|17139284|10592235
l-thioproline,308,17016423|17139284|10592235
