diseaseId,diseaseName,entrezGeneIds
C0010278,craniosynostosis,1947|2077|2146|2263|27241|4745|55764|57539|650|6938|7291|860|2260|4091|4330|4488|7545|58499|60529|158326
C0079773,lymphoma - t-cell - cutaneous,1029|10664|1493|1788|355|3662|387|4170|472|4791|5335|5588|581|673|6777|6935|7128|7157|8289|84433|940|2261|407004
C0079772,t-cell lymphoma,1654|2033|23269|387|5468|604|6774|6777|7157|80816|8289|207|3265|8085|23028|23081
C0424295,hyperactive behavior,107|114|135|1394|1812|1813|1814|2353|2550|26047|2641|2890|2891|28964|3356|3358|3558|4135|4803|4852|4880|4915|4922|5020|590|594857|6531|6623|7054|796|885
C0037268,skin abnormalities,1147|2068|2263|317|3664|6648|6832|84627|8626|92344
C0677886,epithelial ovarian cancer,102800310|1306|1366|171024|257202|25976|28|284654|29086|401022|442913|4905|5290|54361|57522|6928|7015|7157|79915|8028|8631|92421
C0282527,infantile refsum disease (disorder),5189|5190|5192|5193|5194|5195|55670|5824|5828|5830|8504|8799|9409
C0282525,adrenoleukodystrophy - neonatal,5189|5190|5192|5193|5194|5195|55670|5824|5828|5830|8504|8799|9409|3295|51268
C0019569,hirschsprung disease,100188850|10512|1889|1908|1910|223117|246321|246322|2668|3084|3897|404719|404720|4902|5979|8929|648|1951|2596|4916|5649|6663|7080|7976|8436|9839|9968|27042|51083|57492|84740|89780|140767|406915|406971|406989|407000|442914|100507600
C1720887,female urogenital diseases,2018|2099|268|269|3206|3207|3209|3479|3975|3976|4488|5076|54361|657|7076|7474|7476|8626
C0919267,ovarian neoplasm,10013|10232|1027|10381|10395|10413|10772|10775|115761|1499|1545|1647|1796|1956|2064|2069|207|2122|2194|22800|23213|2348|2475|2516|25803|25976|285601|29086|306|3231|3235|3237|331|332|3569|3572|3576|3590|360|374|3845|4072|4233|4288|4292|4436|4519|4576|4609|467|4831|4978|5071|51029|5290|540|54796|5501|5594|5595|5655|56952|5728|574048|5889|5892|5934|607|6502|6513|6528|6597|6647|6648|6678|672|675|6765|6774|6935|7015|7099|7298|79084|79156|79728|83636|83990|8516|857|8626|8631|8725|8743|894|898|8991|9149|92421|94025|999|208|240|242|545|673|902|1909|2072|2074|2099|2246|2898|2956|3219|5295|5378|5395|5604|5819|6794|7157|7158|7476|8314|9055|9474|10533|10645|23210|51755|54801|54894|55379|60487|90355|90506|284058|387775
C0162871,aortic aneurysm - abdominal,100048912|153090|183|185|3949|4035|4318|4323|5743|653361|6648|1281|59272
C0042487,venous thrombosis,1437|2056|2147|2152|2153|2155|2157|2162|2165|3717|4018|4524|462|51156|5327|5328|5340|5624|7035|93183
C0002622,amnesia,10280|11255|1437|2770|2773|2922|351|3552|3558|3569|4803|5173|5443|551|5550|6863|7200
C0020557,hypertriglyceridemia,1071|116519|1401|2646|338|3440|3630|4023|5360|5465|590|64788|85019|8882
C0019080,hemorrhage,1559|2147|2155|2353|3589|3690|5265|5327|5328|5420|5443|5972|624|64805|79001|83706
C0038220,status epilepticus,1000|10803|1232|1236|1237|1244|1268|1392|1756|1965|2056|2185|2353|2596|2668|2826|288|2891|2911|2915|3162|3315|3557|361|3725|3726|3727|3778|3920|4208|4803|4842|4843|488|4908|4915|4916|55163|5610|5743|57468|5979|627|6334|6347|6348|6546|6547|6640|6714|6751|6752|6753|6754|6755|7124|729230|7422|834|836|841|847|8566|8645|8678|9451|958|50484
C1561643,chronic kidney diseases,11136|1373|1471|1601|1602|22884|256764|2646|51422|54828|57619|6311|64849|6540|6569|6582|7029|7369|79029|8395|9027|92912
C0023473,myeloid leukemia - chronic,1407|1408|1432|23532|240|25|26040|2950|3161|3309|332|3440|406|5187|5657|613|7015|7490|768|861|8863|8864|673|1441|3717|4893|51428|55500|171023
C0023470,myeloid leukemia,10735|1728|2122|26040|27161|3066|4297|51527|55102|55904|5885|6688|7001|7155|7422|8243|9126|6603
C0006663,calcinosis,11035|1277|1756|197|2056|2209|249|2591|29108|3553|3606|3688|3689|3717|3934|4046|4313|4318|4851|5155|5159|5443|5777|632|6347|6575|6693|6696|7076|729|80169|8074|80781|836|9213|9356|9365|9450
C0003504,aortic valve insufficiency,11167|1277|1281|1490|2335|4015|4878|4879|7040|7042|7076
C1960469,left ventricular noncompaction,11155|1837|4000|4607|4625|57534|57644|63976|6901|70|7139|7168|5318|23207|142678
C0030567,parkinson disease,100128977|100129583|100287944|100359403|100631383|101929655|102724307|10295|10457|10743|11315|114134|120892|1272|1305|1356|136853|1394|147081|154043|1565|1571|1586|1609|161145|1620|162540|1644|1728|1740|1812|1813|1906|199|2203|2244|22876|23400|254428|2580|2629|2643|2668|2670|284058|2876|2941|2944|2950|3077|3082|3122|3162|3303|3313|339105|342125|3480|3481|3482|3569|3630|3643|3761|401884|4099|4128|4129|4137|4217|4600|4803|4842|4905|5071|51693|5243|54541|55532|55737|55974|56922|57111|57568|6014|6128|6147|6202|627|6456|64710|65018|6531|6571|6622|6647|6648|6720|683|6888|7124|7473|7784|79780|80333|84286|84660|9045|9726|9842|105|1310|2026|2208|3047|3127|4133|4524|4680|5819|7054|7226|9112|9529|9623|10059|10891|26047|29058|54892|144195|374946|406957
C0014170,endometrial neoplasms,10060|1028|10772|1108|1583|1634|1645|2033|2099|2100|2146|221895|2263|231|23512|27030|2956|3206|3207|3294|332|3480|3576|406985|4216|4524|4780|5074|5241|5424|54894|55294|55558|55743|57016|5728|6347|6405|64061|6716|6770|6820|6935|7422|7869|8289|8405|8644|8743|9021|999
C0243026,sepsis,133|1440|284|3146|3440|3458|3579|3586|3929|4049|4282|4318|4843|4846|5594|5595|5624|7040|7099|7124|836|135|136|7045
C0014175,endometriosis,100048912|100188863|10025|100506885|10060|10090|10125|10140|10154|10257|10562|10628|10666|10902|10924|11067|116039|120892|121601|1268|1368|1462|149111|1528|1588|1592|1604|1645|1646|1655|1675|1734|1839|1843|1956|1994|2063|2100|2192|2200|2289|22943|23054|231|2327|23327|23405|23421|23428|2353|2516|25802|25840|25890|27063|2878|29079|2908|29116|30061|3065|3066|3115|3164|3292|3294|3371|3434|3459|3479|3484|3489|3516|3549|3554|3575|3600|3613|3620|3673|3688|3696|374|3845|387496|389558|3912|405|4057|406991|4070|4128|4129|4306|4741|4916|5069|5076|51191|5137|51621|5167|5241|5320|54206|54361|5469|55959|5617|56172|5618|5732|5734|5737|5743|59|5915|59350|5999|6096|6414|6505|655|6574|6715|6716|6750|687|6876|7026|7042|7067|715|7181|7182|7200|79625|79822|81501|8390|8404|8614|8644|8648|8801|8829|9076|90865|9112|9120|9134|9219|92304|9282|9318|9440|9547|9611|9687|9953|9975|3586|4283|6346|6356|6367|10563
C0014859,esophageal neoplasms,1012|1029|11178|11197|11214|125|131|1410|1440|148867|1588|1592|1956|2023|2064|217|220972|246|25|2597|27030|27113|2788|2810|2920|331|360|3791|3958|406937|406985|406991|4215|4233|4323|4495|4843|4846|50514|51738|51741|5243|5245|56475|5742|5743|581|595|596|597|60|6049|6317|6591|6648|6750|7001|7048|7052|7157|7168|7171|7284|7345|7517|841|864|8797|8856|9940
C0341106,eosinophilic esophagitis,100302511|100499167|10344|11077|126917|1630|23076|286046|440854|56946|57576|57619|60494|6778|7077|726|84079|85480|8613|9127|10188|81603
C0005684,malignant neoplasm of urinary bladder,10460|1198|2261|342184|3845|4046|54575|54576|54901|55824|55892|5925|6563|7248|8000|81037|9|10|43|267|290|330|355|360|387|472|513|675|688|898|999|1026|1029|1387|1440|1463|1580|1728|1890|1956|2026|2033|2065|2068|2072|2099|2100|2175|2176|2186|2475|2735|2876|2944|2950|2954|3149|3205|3265|3440|3456|3479|3486|3488|3558|3576|3670|3868|3908|3978|4016|4108|4194|4297|4313|4318|4353|4489|4502|4504|4524|4609|4851|4853|5423|5447|5533|5646|5690|5743|5819|6573|6648|6657|6714|7015|7037|7077|7124|7157|7364|7403|7442|7799|7874|8085|8243|8289|8314|8320|8821|8836|9582|9611|9649|9700|9759|10723|10735|10979|11186|26259|26986|27127|50807|51479|55252|57412|58508|79366|79718|84171|84181|84966|119391|140767|146177|225689|255022|341568|374887|389289|406892|406937|407026|407041|407055|693120|693124|100422979
C0752347,lewy body disease,177|1906|199|2629|2670|348|3480|3481|3482|3630|3643|4099|4803|4914|4915|6620|6622|6648|8678|2026|4133|7054|10891
C3160718,parkinson disease - late-onset,126|1621|170534|1815|23317|26281|2629|2747|4137|4287|4535|4729|4929|5071|5072|6311|6315|677662|6908|7345|9627|29058
C0311375,arsenic poisoning,10142|10308|10443|1401|2067|2071|2072|22902|23043|2803|2920|2921|29896|3304|3398|3552|3553|3557|366|3759|3858|414062|4489|4524|4616|4714|4860|4929|5142|5209|54345|54469|55422|57162|57412|5806|5991|5996|6314|6351|6364|6421|6498|6648|6730|6742|7109|7124|7130|7157|7324|79101|8554|8615|8870|8975|9034|9308|9562|960|3632|406937
C0007621,neoplastic cell transformation,100126314|100126317|100302123|100302129|100302142|100302258|100506658|1501|1553|1645|1646|1879|1950|2026|2034|2099|23239|2335|238|26227|30061|3084|3150|3195|324|3265|3476|3480|3569|3575|3576|3667|3725|3852|3861|3866|3880|389421|3958|4017|406885|406899|406938|406949|406961|406965|406966|406984|406988|407006|407014|407021|407033|407037|407041|407042|407056|4193|4286|4318|4582|4609|4613|4615|4790|4843|4851|5292|5447|5599|5879|595|596|5970|6362|6513|653361|6566|6615|6647|6648|6667|672|693223|693235|6935|7037|7040|71|7128|7157|7431|7468|7474|7852|79727|847|8505|8626|8644|8668|8848|9076|947|9839|999
C0007102,malignant tumor of colon,2|59|72|143|219|240|242|324|332|430|538|578|581|595|596|673|781|873|894|902|1026|1045|1158|1356|1410|1499|1592|1670|1755|1786|1806|1890|1956|2064|2122|2153|2203|2348|2475|2520|2535|2596|2641|2898|2949|2982|3158|3280|3306|3315|3383|3399|3458|3481|3484|3553|3557|3604|3627|3679|3700|3725|3757|3845|3952|4023|4057|4129|4171|4224|4288|4292|4316|4318|4321|4524|4595|4609|4790|4843|4851|4904|4953|5020|5071|5111|5121|5268|5423|5468|5606|5608|5743|5782|5795|5970|5981|6275|6280|6364|6513|6566|6573|6580|6648|6678|6714|6774|6817|6876|6934|6941|7048|7124|7157|7158|7170|7298|7372|7422|7490|8313|8314|8320|8434|8549|8626|8668|8678|8743|8797|8842|9235|10765|11156|11200|23028|23186|23236|23476|25788|27035|28234|29950|30011|50507|51176|54739|57381|57447|60487|80196|90355|116844|160728|407008|407054|553158|100507056
C0011265,presenile dementia,2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C0011570,mental depression,2|15|111|113|114|116|150|153|183|207|238|351|353|361|367|406|409|438|467|468|478|488|573|627|672|775|805|815|866|1012|1029|1103|1129|1135|1137|1142|1240|1268|1269|1270|1312|1385|1392|1393|1394|1395|1407|1408|1557|1565|1607|1621|1742|1803|1808|1812|1813|1814|1815|1843|1846|1848|1960|2065|2099|2260|2263|2289|2346|2556|2559|2562|2571|2596|2670|2688|2739|2752|2784|2847|2876|2890|2892|2894|2896|2899|2903|2904|2908|2911|2917|2925|2932|2944|2952|2973|2996|3060|3061|3064|3066|3084|3091|3240|3290|3350|3351|3356|3358|3359|3360|3363|3458|3479|3552|3553|3569|3570|3576|3606|3613|3620|3763|3776|3925|3939|3952|3976|4048|4074|4128|4129|4157|4160|4287|4306|4513|4524|4548|4684|4741|4803|4804|4843|4846|4852|4862|4915|4922|4939|4986|4988|5020|5021|5027|5141|5142|5144|5153|5173|5179|5209|5243|5367|5368|5443|5533|5584|5595|5599|5649|5663|5697|5743|5879|5972|6095|6281|6285|6422|6505|6506|6529|6530|6531|6532|6570|6571|6616|6647|6648|6715|6853|6863|6869|7054|7088|7124|7132|7133|7166|7200|7276|7349|7422|7425|7466|8822|8863|8864|8910|8914|8973|9048|9095|9177|9211|9378|9456|9575|9607|9639|9734|9759|9968|10013|10014|10522|10814|10815|23286|26281|27121|27185|27445|51083|51555|53919|54738|55315|63891|79068|80114|84062|84152|114784|121278|125958|255239|267012|282706|348980|387129|594857
C0022660,kidney failure - acute,2|173|197|213|259|506|551|567|581|624|718|960|1191|1234|1356|1471|1557|1559|1565|1728|1839|1906|1956|2053|2056|2539|2621|2638|2671|2932|2938|2946|2950|3048|3074|3162|3240|3263|3303|3440|3479|3484|3569|3586|3630|3816|3827|3934|4036|4353|4524|4780|4790|4843|4846|4878|5004|5265|5340|5443|5468|6556|6647|6696|7018|7033|7040|7097|7099|7124|7157|7276|7422|10411|10457|11167|23411|26762|50604|51330|54600|54658|81693|116085|283238|391051|406891|406902|406906|406932|406935|406940|406967|406997|407010|407014|407029|407033|407055|574447|100506658
C0206669,hepatocellular adenoma,2|1027|1499|3265|5728|6927|7325|9970|54968
C0239946,fibrosis - liver,2|59|148|183|196|210|213|405|408|540|710|713|866|871|928|929|1131|1268|1269|1277|1278|1281|1290|1356|1490|1499|1535|1544|1593|1717|1777|2147|2149|2152|2153|2200|2247|2252|2263|2321|2638|3066|3082|3291|3439|3484|3485|3569|3727|3856|3875|3918|3956|3959|4015|4016|4060|4088|4313|4780|4864|4878|5118|5244|5265|5328|5352|5728|5972|6347|6678|6696|6772|7040|7046|7057|7133|7422|7431|7448|8407|9104|9376|10246|10400|25805|26266|54822|55532|81622|91147|120227|150684|169792|203286|406997|407026|407030|407032|442895|442913|574506|100126331|100126334|100313838
C0276496,familial alzheimer disease (fad),2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|6653|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C0494463,alzheimer disease - late onset,2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C0546126,acute confusional senile dementia,2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C0750900,alzheimer's disease - focal onset,2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C0750901,alzheimer disease - early onset,2|43|102|267|274|341|348|351|498|581|590|596|627|801|836|945|1139|1141|1191|1200|1378|1392|1471|1565|1636|1718|1808|1965|2023|2041|2099|2147|2932|3077|3127|3162|3416|3479|3480|3481|3482|3553|3630|3635|3643|3952|4129|4137|4353|4524|4846|4852|5328|5336|5468|5621|5649|5663|5664|5697|5819|6517|6648|7018|7019|7124|7167|7422|7447|7782|8301|9510|10347|10452|10857|10858|23237|23385|23607|23621|26330|27328|51225|51338|51741|54209|55676|57091|124152|406892|406938|407022|494324|574508|768218|100126333|100170222|100500871|100616367
C1527352,hepatic form of wilson disease,2|191|308|348|438|540|635|815|1356|3569|3576|3586|4015|4017|4713|5530|5532|5621|6622|7076|7124|54949|56899|57817
C1565662,acute kidney insufficiency,2|173|197|213|259|506|551|567|581|624|718|960|1191|1234|1356|1471|1557|1559|1565|1728|1839|1906|1956|2053|2056|2539|2621|2638|2671|2932|2938|2946|2950|3048|3074|3162|3240|3263|3303|3440|3479|3484|3569|3586|3630|3816|3827|3934|4036|4353|4524|4780|4790|4843|4846|4878|5004|5265|5340|5443|5468|6556|6647|6696|7018|7033|7040|7097|7099|7124|7157|7276|7422|10411|10457|11167|23411|26762|50604|51330|54600|54658|81693|116085|283238|391051|406891|406902|406906|406932|406935|406940|406967|406997|407010|407014|407029|407033|407055|574447|100506658
C3279661,alpha-2-macroglobulin deficiency,2
C0028796,dermatitis - occupational,9|10|217|624|3108|3586|3827|50943
C0086457,industrial dermatosis,9|10|217|624|3108|3586|3827|50943
C0010054,coronary arteriosclerosis,10|28|325|335|345|490|959|1030|1401|1636|2056|2099|2100|2784|2982|3162|3654|3667|3949|3988|4018|4049|4314|4846|4879|5069|5175|5444|5743|6272|6347|6387|6943|7015|7099|7189|7422|8613|9365|9518|10019|10221|10544|11173|22808|23294|23564|25802|51129|51530|55759|57608|64240|64241|64968|80310|84439|84830|116519|221692|255738|283450|375056|406938|574447
C0011999,diastematomyelia,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0019193,hepatitis - toxic,10|60|81|101|183|196|213|223|229|259|302|309|335|348|350|383|405|581|622|624|645|686|710|718|761|821|847|866|994|1040|1131|1152|1191|1244|1281|1356|1373|1401|1440|1499|1510|1544|1548|1555|1557|1559|1571|1576|1582|1629|1642|1647|1719|1737|1824|1869|1892|1979|1990|2023|2052|2081|2152|2180|2194|2243|2321|2328|2494|2638|2664|2729|2730|2805|2819|2868|2875|2919|2934|2936|2941|2944|2946|2947|2948|2950|2952|3030|3075|3105|3106|3119|3123|3146|3162|3242|3263|3274|3309|3440|3458|3479|3552|3553|3565|3569|3589|3605|3606|3627|3654|3708|3727|3827|3856|3875|3929|3934|3958|3992|4057|4143|4189|4190|4199|4217|4313|4318|4363|4485|4486|4524|4722|4780|4831|4851|4860|4967|5034|5053|5091|5118|5130|5166|5236|5243|5327|5340|5358|5428|5436|5444|5465|5469|5580|5591|5743|5836|5858|5921|5947|6282|6347|6464|6590|6647|6648|6649|6652|6653|6696|6731|6783|6820|6821|6888|6915|7018|7026|7046|7100|7124|7203|7276|7373|7422|7431|7450|7846|7850|7905|8078|8310|8407|8431|8800|8836|8856|8976|8991|9002|9104|9131|9214|9227|9315|9370|9376|9415|9446|9474|9615|9695|9698|9924|9942|9970|9971|10006|10062|10096|10157|10380|10383|10487|10611|10957|10989|11035|11315|22948|23193|23476|24145|26061|26266|26762|27102|27248|29105|50507|50616|51014|51056|51179|51382|51635|54466|54600|54940|55151|55862|56521|56922|57017|59343|79600|79876|81622|81631|83667|84068|84187|84216|84649|84913|93664|112574|112724|112869|123096|136319|151887|152518|160428|160760|254887|256297|283120|378938|406884|406885|406886|406890|406891|406892|406901|406902|406903|406904|406906|406911|406912|406919|406920|406921|406933|406934|406935|406940|406941|406942|406943|406952|406953|406957|406964|406966|406967|406968|406969|406979|406985|406991|406992|406999|407000|407004|407006|407007|407010|407011|407019|407025|407026|407027|407029|407030|407037|407040|407042|407050|407055|442038|442901|442904|442905|442906|442909|442910|442912|494323|494327|494335|574030|574412|574434|574455|574456|574501|574506|574508|619552|619553|619556|693120|693122|693124|693159|693174|693177|693210|693212|693214|723779|724030|729230|768218|100126313|100126314|100126334|100302115|100302142|100302145|100302149|100302174|100302197|100302218|100302221|100302236|100302240|100302276|100302284|100313838|100422867|100422991|100500847|100616127|100616135|100616247|100616258|100616259|100616357|100616376|100616437|100847054|100847070|102465489|102465513|102465802|102465833|102465858|102466247|102466270
C0023453,l2 acute lymphoblastic leukemia,10|25|405|613|841|861|1021|1029|1053|1544|1545|1558|1571|1728|2052|2078|2120|2322|2356|2782|3055|3131|3233|3417|4297|4524|4552|4683|5079|5243|5925|6573|6886|6887|6929|7157|7441|7468|7515|8021|10320|22806|22807|22978|55824|63978|64109|84159|286530|100288687
C0023530,leukopenia,10|1440|3440|3558|3562|4524|7172|374569
C0027806,neurenteric cyst,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0080218,tethered cord syndrome,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0152234,iniencephaly,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0152426,craniorachischisis,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51339|51738|57216|57822|80199|81839|85416
C0266453,exencephaly,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0344479,spinal cord myelodysplasia,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
C0345904,malignant neoplasm of liver,10|25|196|302|307|310|324|325|440|467|540|595|673|902|1027|1029|1124|1149|1233|1375|1381|1432|1437|1440|1499|1571|1948|2099|2272|2354|2705|2877|2878|2898|2944|3054|3082|3162|3265|3439|3481|3558|3592|3593|3697|3725|3845|3856|3875|4057|4609|4645|4780|4891|4942|5054|5357|5465|5468|5581|5685|5800|5894|6319|6496|6513|6725|6774|6925|7015|7039|7124|7150|7153|7157|7204|7358|7507|7508|8100|8314|8743|8916|9215|9317|9611|9970|9971|10188|10397|10468|10669|10897|11082|22996|23302|23386|23404|23405|23593|26227|27232|27324|29887|30061|51201|51491|55870|57628|60487|64084|79039|79879|81572|83597|84263|90355|112399|116966|117159|121256|121551|128439|140733|153129|158038|164395|166336|168002|170691|192286|201163|246329|283131|283927|339896|342945|374955|378938|407021|641371|728655
C0345967,malignant mesothelioma,10|142|302|335|596|735|794|943|1021|1026|1029|1303|1435|1499|1654|1956|2052|2158|2202|2220|2254|2315|2335|2495|2850|2861|2944|3082|3384|3458|3552|3559|3562|3565|3569|3576|3593|3611|3815|4049|4162|4192|4233|4282|4283|4582|4771|4803|5267|5792|5894|6256|6262|6320|6348|6352|6354|6368|6382|6387|6513|6584|6595|6648|7018|7029|7042|7157|7295|7431|7473|7490|8314|8817|8915|9110|9134|9180|9509|9706|9759|9843|9869|10232|10495|10505|10563|10630|10643|10850|22820|22998|23286|23451|25790|26523|27161|29072|29108|51090|55785|79718|84231|317781|340719|406910|406913|619553|100506965
C0678222,breast carcinoma,10|25|43|59|90|102|103|142|174|182|196|207|208|226|238|318|329|332|353|367|369|374|375|396|472|540|573|580|581|590|595|596|597|650|652|659|672|673|675|695|708|840|841|847|857|898|902|958|972|978|999|1000|1003|1027|1029|1063|1072|1111|1192|1269|1294|1312|1364|1374|1394|1435|1436|1437|1440|1474|1499|1543|1545|1565|1576|1586|1588|1591|1649|1674|1719|1728|1735|1786|1788|1789|1806|1825|1869|1902|1910|1933|1938|1942|1950|1956|2004|2023|2033|2050|2057|2063|2064|2065|2066|2091|2099|2100|2101|2114|2118|2122|2146|2152|2173|2194|2202|2248|2249|2255|2260|2263|2274|2305|2316|2321|2335|2353|2475|2625|2662|2697|2771|2821|2852|2876|2877|2879|2886|2898|2920|2921|2950|2977|3002|3006|3014|3032|3084|3087|3090|3091|3161|3162|3169|3190|3191|3219|3237|3240|3265|3273|3280|3304|3320|3381|3456|3458|3476|3479|3480|3488|3490|3553|3569|3576|3586|3620|3692|3714|3725|3756|3791|3815|3845|3852|3856|3861|3875|3925|3945|3952|3953|3993|3996|4017|4046|4118|4123|4193|4194|4211|4214|4240|4282|4283|4288|4311|4312|4313|4314|4318|4323|4363|4485|4504|4524|4548|4627|4660|4722|4792|4829|4835|4843|4846|4851|4853|4854|4855|4897|4904|4919|5002|5047|5055|5058|5138|5154|5170|5174|5241|5243|5245|5268|5290|5291|5292|5300|5321|5609|5655|5728|5742|5743|5744|5789|5819|5888|5889|5890|5894|5914|5915|5925|5935|5965|5970|5997|6147|6160|6181|6191|6194|6199|6201|6202|6236|6257|6364|6387|6416|6422|6423|6425|6470|6492|6513|6514|6518|6528|6591|6602|6615|6623|6648|6696|6714|6721|6774|6776|6790|6817|6926|6935|7015|7020|7025|7037|7052|7057|7087|7090|7124|7153|7157|7158|7159|7161|7295|7298|7348|7372|7421|7423|7424|7431|7468|7480|7490|7516|7517|7818|7852|7913|7980|8065|8085|8202|8204|8289|8314|8347|8412|8438|8493|8518|8614|8648|8743|8821|8863|8871|8894|8924|9048|9055|9076|9123|9154|9156|9175|9185|9429|9473|9510|9563|9582|9590|9611|9623|9668|9754|9801|9821|9839|9877|9884|9968|10010|10236|10297|10318|10381|10397|10413|10457|10468|10481|10499|10537|10542|10551|10599|10660|10855|11009|11041|11065|11067|11118|11188|11200|22891|22943|22948|23008|23136|23210|23339|23345|23406|23411|23462|23493|23705|25800|26040|26150|26227|26508|26986|27098|27246|27324|28514|28957|28998|29072|50618|50943|51081|51129|51176|51466|51649|51741|54567|55005|55140|55193|55294|55809|56100|56942|56945|56946|57452|57492|57561|57643|59352|60487|60626|63943|65005|79068|79659|79728|80306|80332|80774|81031|83734|83990|84456|84866|84870|85236|90353|90355|91433|91801|92140|92270|92483|94234|116135|127707|130540|131965|132671|133522|134510|135228|138046|151647|152273|161424|167465|196403|200035|200315|221078|221687|252983|254122|283120|284615|342908|345274|348180|378938|388387|400224|400500|404037|406894|406902|406903|406913|406914|406921|406933|406937|406938|406943|406984|406985|406988|406989|406996|407006|407007|407013|407021|407027|442909|442910|474170|554202|554210|574442|644246|645249|647979|100128252|100506658
C0702169,acrania,10|635|1437|1544|2348|2350|2737|3458|3630|4522|4524|4886|5077|5652|5697|6240|6347|6497|6862|7546|10653|27443|51738|57216|57822|80199|81839|85416
